name,affiliation,homepage,scholarid,orcid
P. David Stotts,University of North Carolina,http://www.cs.unc.edu/~stotts,NOSCHOLARPAGE,0000-0000-0000-0000
P. Deepak 0001,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=d.padmanabhan,YC60F-YAAAAJ,0000-0000-0000-0000
P. J. Narayanan,IIIT Hyderabad,https://www.iiit.ac.in/~pjn,3HKjt_IAAAAJ,0000-0002-7164-4917
P. J. P. McMullan,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=p.p.mcmullan,NOSCHOLARPAGE,0000-0000-0000-0000
P. K. Srijith,IIT Hyderabad,https://cse.iith.ac.in/?q=People/Faculty,C1YpEWsAAAAJ,0000-0002-2820-0835
P. Katerinis,AUEB,http://www.aueb.gr/pages_en/graduate/masters.php,NOSCHOLARPAGE,0000-0000-0000-0000
P. Krishna Gummadi [SWS],Max Planck Society,https://www.mpi-sws.org/~gummadi,Bz3APTsAAAAJ,0000-0000-0000-0000
P. Krishna Reddy,IIIT Hyderabad,http://faculty.iiit.ac.in/~pkreddy,XIgl8kUAAAAJ,0000-0000-0000-0000
P. L. Kilpatrick,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=p.kilpatrick,OlitxFsAAAAJ,0000-0000-0000-0000
P. Madhusudan,Univ. of Illinois at Urbana-Champaign,http://madhu.cs.illinois.edu,V828uG8AAAAJ,0000-0002-9782-721X
P. P. Chakrabarti,IIT Kharagpur,http://cse.iitkgp.ac.in/~ppchak,yq-ekN8AAAAJ,0000-0000-0000-0000
P. Patrick van der Smagt,TU Munich,https://brml.org/people/smagt,5ybzvbsAAAAJ,0000-0003-4418-4916
P. Radha Krishna 0001,National Inst. of Tech. Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16934,JFzGHMIAAAAJ,0000-0000-0000-0000
P. Roberto Oliveira,UFRJ,http://www.cos.ufrj.br/index.php/pt-BR/pessoas/details/18/1045-poliveir,55Or75UAAAAJ,0000-0000-0000-0000
P. Sadayappan,University of Utah,http://www.cs.utah.edu/~saday,JN4tlsMAAAAJ,0000-0002-4737-2034
