institution,latitude,longitude
Aalborg University,57.015907,9.9753082
Aalto University,60.1860789,24.8281021
Aarhus University,56.1670905,10.2026177
Aberystwyth University,52.4107358,-4.052955
American University in Cairo,30.0192629,31.5036428
American University of Beirut,33.9000264,35.4823838
Ariel University,32.065377,34.845842
Australian National University,-35.2812134,149.1167789
BITS Pilani,17.547185,78.572791
BITS Pilani-Goa,15.3910477,73.8780016
BUET,23.7275171,90.3910421
BUPT,39.9602014,116.3519348
Bar-Ilan University,32.0693292,34.8433434
Bauhaus University Weimar,50.9757133,11.3301092
Beihang University,39.9809427,116.3409787
Ben-Gurion University of the Negev,31.2631254,34.8022385
Bielefeld University,52.0365422,8.4901776
Bilkent University,39.870469,32.7539193
Birkbeck University of London,51.5218449,-0.1302155
Bocconi University,45.4497194,9.1887103
Brock University,43.1177354,-79.2498568
Brunel University London,51.5326092,-0.4740499
Bundeswehr University Munich,48.0766312,11.6359736
CISPA Helmholtz Center,49.2593545,7.0509922
CMI,30.3121892,78.0474883
CRIStAL,50.6070826,3.1373468
CUHK (SZ),22.69155,114.2083739
CWI,52.3563486,4.9517276
Cardiff University,51.4876641,-3.1791621
Carleton University,45.3858581,-75.6950041
Charles University,50.2133737,15.8351215
Chinese Academy of Sciences,39.9828515,116.3245244
Chinese University of Hong Kong,22.28552,114.15769
Chulalongkorn University,13.7431095,100.5328841
City University of Hong Kong,22.28552,114.15769
City University of London,51.5276441,-0.1035989
Concordia University,45.495244,-73.5784993
Cyprus University of Technology,34.6766894,33.0445526
Czech Technical University,50.1029026,14.3946353
DAIICT,23.1881176,72.627997
DTU,55.7854145,12.5202151
Dalhousie University,44.6375234,-63.5872235
De La Salle University,14.5675138,120.9914195
Durham University,54.5622715,-1.2963557
EPFL,46.5186594,6.5665615
ETH Zurich,47.413218,8.5374914
ETS Montreal,45.4945354,-73.5628851
EURECOM,43.6143795,7.0712057
East China Normal University,31.2284923,121.4021139
Ecole Normale Superieure,48.8417072,2.3447923
Ecole Normale Superieure de Cachan,48.79632,2.33661
Ecole Normale Superieure de Lyon,45.74846,4.84671
Ecole Normale Superieure de Rennes,48.0457455,-1.7460712
Federal University of Rio Grande,-22.862661,-43.2230021
Freie Universitaet Berlin,52.4549616,13.296274
Friedrich Schiller University Jena,50.9326427,11.5779867
Fudan University,31.3011648,121.4980876
Galatasaray University,41.0459923,29.0204624
Goethe University Frankfurt,50.11552,8.68417
Goldsmiths University of London,51.4740396,-0.0393493
Graz University of Technology,47.05821,15.4601947
HEC Montreal,45.5036114,-73.6212922
HUST,30.5202172,114.4118463
Hacettepe University,39.867446,32.7354752
Hamburg University of Technology,53.461,9.9692264
Hanyang University,37.5557274,127.0436837
Harbin Institute of Technology,45.741589,126.6255626
Hasso Plattner Institute,52.3934356,13.1319294
Hebrew University of Jerusalem,31.7918555,35.244723
Heidelberg University,49.4013697,8.6715978
Heriot-Watt University,55.9102958,-3.3234475
Humboldt University of Berlin,52.5185813,13.3928784
Hunan University,28.1797096,112.9413185
IIIT Bangalore,12.8443019,77.6632921
IIIT Delhi,28.5463259,77.273255
IIIT Hyderabad,17.4454957,78.348547
IISc Bangalore,13.0222347,77.5671832
IIT (BHU) Varanasi,25.2601704,82.9908449
IIT Bhubaneswar,20.1480813,85.6764298
IIT Bombay,19.1326186,72.9149791
IIT Delhi,28.5470121,77.1945546
IIT Gandhinagar,23.2164308,72.6876404
IIT Goa,15.4236608,73.9806018
IIT Guwahati,26.1924787,91.6946357
IIT Hyderabad,17.5922751,78.1221891
IIT Indore,22.5269276,75.9262066
IIT Jodhpur,26.2713865,73.0333348
IIT Kanpur,26.512336,80.2338247
IIT Kharagpur,22.3144275,87.310392
IIT Madras,12.9914769,80.2336786
IIT Mandi,31.7757191,76.9874534
IIT Patna,25.6301238,85.1033176
IIT Roorkee,29.8661656,77.8957348
IIT Ropar,30.9659501,76.4729772
IPI PAN,52.2258111,20.9499124
IPM,35.800326,51.4627671
ISI Kolkata,22.5922785,88.4153702
IST Austria,48.3105695,16.2584799
IT University of Copenhagen,55.6596553,12.5910769
IUST,35.7427943,51.5057405
Imperial College London,51.4989595,-0.1756413
Istanbul Technical University,41.1050465,29.0263268
Izmir Institute of Technology,38.3226588,26.6377295
JKU Linz,48.3360933,14.3205674
Jacobs University Bremen,53.1677233,8.6511657
KAIST,37.5612302,126.9832396
KAUST,22.3223754,39.1173835
KMUTNB,13.8234767,100.5122406
KTH Royal Institute of Technology,59.2016758,17.6203201
KU Leuven,50.8057128,3.2915374
Karlsruhe Institute of Technology,49.1018534,8.4331202
Keio University,35.5520841,139.6495838
King Abdulaziz University,21.4934146,39.2485449
King's College London,51.5151076,-0.1106725
Korea University,36.6108905,127.2934246
Kyoto University,35.0234513,135.7798129
Kyung Hee University,37.5971213,127.0519867
Kyungpook National University,35.8905697,128.6108553
LMU Munich,48.2469873,11.5449354
LUMS,31.4379374,73.1299653
Lancaster University,54.0097537,-2.7875727
Lebanese American University,33.8928356,35.4774984
Leiden University,52.1686339,4.4596631
Loughborough University,52.7626882,-1.2396365
Lund University,55.7126504,13.2107587
Maastricht University,50.8499111,5.6856029
Macquarie University,-33.7740328,151.1126944
Masaryk University,49.198657,16.6056272
Masdar Institute,24.4348507,54.6167989
Massey University,-40.3844693,175.6164996
Max Planck Society,48.2633373,11.6765672
McGill University,45.5069177,-73.5791163
McMaster University,43.2639397,-79.9178252
Memorial University of Newfoundland,47.5733341,-52.7333066
Middle East Technical University,39.8754967,32.7855351
Middlesex University,51.5902971,-0.2296322
Monash University,-37.9107764,145.1348065
NISER,20.1698283,85.6838559
NTNU,63.423373,10.39085
NTUA,37.9778779,23.7821791
NYU Shanghai,31.2277139,121.5296684
Nanjing University,32.0565957,118.7740883
Nanyang Technological University,1.3484104,103.6829332
National Cheng Kung University,22.9991916,120.2162513
National Chiao Tung University,24.797853,120.9819505
National Institute of Informatics,35.8932615,139.9449382
National Taiwan University,25.0168862,121.538521
National Tsing Hua University,24.7916987,120.9924295
National University of Singapore,1.2962018,103.7768994
Newcastle University,54.980175,-1.6146802
Ontario Tech University,43.9483311,-78.8981668
Open University UK,52.0245378,-0.7092748
Osaka University,34.7727934,135.510445
POSTECH,36.0180795,129.3208556
PUC-RIO,-22.9796435,-43.233152
PUC-RS,-30.0551712,-51.1735106
Paderborn University,51.707521,8.7724141
Peking University,40.1733653,116.15722
Politecnico di Milano,45.4790288,9.2322104
Polytechnic University of Catalonia,41.82046,1.86768
Polytechnique Montreal,45.5045875,-73.612996
Qatar University,25.3719714,51.4879579
Queen Mary University of London,51.5247272,-0.0393103
Queen's University Belfast,54.5841487,-5.933721
Queensland University of Technology,-27.542195,153.0649526
RMIT University,-37.8060119,144.9639221
RWTH Aachen,50.7791645,6.068921
Radboud University,51.8215172,5.8634034
Renmin University of China,39.9697678,116.3070933
Royal Holloway University of London,51.4249395,-0.5663896
Royal Military College of Canada,44.2317354,-76.4681093
Ruhr-University Bochum,51.48165,7.21648
SUSTech,22.5984682,113.9984255
SUTD,1.3416143,103.9648552
Saarland University,49.2542853,7.0415071
Sapienza University of Rome,41.89193,12.51133
Scuola Superiore Sant'Anna,43.7206078,10.4026444
Seoul National University,37.46691,126.94771
Shandong University,37.5321347,122.0545069
