name,affiliation,homepage,scholarid,orcid
Z. Berkay Celik,Purdue University,https://beerkay.github.io,g1I269gAAAAJ,0000-0001-7362-8905
Z. Cihan Taysi,Yıldız Technical University,https://www.ce.yildiz.edu.tr/personal/cihan?lang=en,NOSCHOLARPAGE,0000-0000-0000-0000
Z. Meral Özsoyoglu,Case Western Reserve University,http://engineering.case.edu/eecs/faculty-staff,QRrrUU0AAAAJ,0000-0000-0000-0000
Z. Morley Mao,University of Michigan,http://web.eecs.umich.edu/~zmao,NOSCHOLARPAGE,0000-0002-9844-2055
Zac Friggstad,University of Alberta,https://webdocs.cs.ualberta.ca/~zacharyf,NOSCHOLARPAGE,0000-0000-0000-0000
Zach Swiecki,Monash University,https://research.monash.edu/en/persons/zach-swiecki,HSdHD5UAAAAJ,0000-0000-0000-0000
Zachari Swiecki,Monash University,https://research.monash.edu/en/persons/zach-swiecki,HSdHD5UAAAAJ,0000-0000-0000-0000
Zachary Friggstad,University of Alberta,https://webdocs.cs.ualberta.ca/~zacharyf,NOSCHOLARPAGE,0000-0000-0000-0000
Zachary G. Ives,University of Pennsylvania,http://www.cis.upenn.edu/~zives,2wJaIkEAAAAJ,0000-0001-7527-2957
Zachary J. Butler,Rochester Inst. of Technology,https://www.cs.rit.edu/~zjb,aRmAQRQAAAAJ,0000-0000-0000-0000
Zachary Kincaid,Princeton University,http://www.cs.princeton.edu/~zkincaid,uT9We9MAAAAJ,0000-0002-7294-9165
Zachary Kingston,Purdue University,https://zkingston.com,PqcZ56cAAAAJ,0000-0002-3896-5110
Zachary Tatlock,University of Washington,https://homes.cs.washington.edu/~ztatlock,jz2Tvk4AAAAJ,0000-0002-4731-0124
Zachary Wartell,UNC - Charlotte,http://webpages.uncc.edu/zwartell,Na3SK1kAAAAJ,0000-0002-8808-5250
Zack Butler 0001,Rochester Inst. of Technology,https://www.cs.rit.edu/~zjb,aRmAQRQAAAAJ,0000-0002-2901-505X
