"name","dept","area","count","adjustedcount","year"
Benjamin J. Raphael,Brown University,bio,3.0,1.16666666667,2014
Lydia E. Kavraki,Rice University,bio,1.0,0.333333333333,2010
K. Anton Feenstra,VU Amsterdam,bio,1.0,0.111111111111,2013
Jaap Heringa,VU Amsterdam,bio,1.0,0.111111111111,2013
Yaniv Erlich,Columbia University,bio,1.0,0.333333333333,2012
Joachim M. Buhmann,ETH Zurich,bio,1.0,0.333333333333,2009
Kevin Liu,Michigan State University,bio,1.0,0.2,2012
Tandy J. Warnow,University of Illinois at Urbana-Champaign,bio,1.0,0.2,2012
Tobias Höllerer,University of California - Santa Barbara,bio,1.0,0.166666666667,2015
Robert Patro,Stony Brook University,bio,1.0,0.5,2013
Carl Kingsford,Carnegie Mellon University,bio,1.0,0.5,2013
Xiaohui Xie,University of California - Irvine,bio,1.0,0.2,2016
Ziv Bar-Joseph,Carnegie Mellon University,bio,3.0,1.25,2013
Chris Bailey-Kellogg,Dartmouth College,bio,3.0,0.833333333333,2012
Eleazar Eskin,University of California - Los Angeles,bio,1.0,0.2,2015
Eric P. Xing,Carnegie Mellon University,bio,3.0,1.0,2009
Bonnie Berger,Massachusetts Institute of Technology,bio,2.0,0.366666666667,2009
Seyoung Kim,Carnegie Mellon University,bio,1.0,0.333333333333,2009
Eleazar Eskin,University of California - Los Angeles,bio,2.0,0.583333333333,2011
ChengXiang Zhai,University of Illinois at Urbana-Champaign,bio,2.0,0.366666666667,2015
Hongning Wang,University of Virginia,bio,1.0,0.166666666667,2016
Chengxiang Zhai,University of Illinois at Urbana-Champaign,bio,1.0,0.166666666667,2016
Manolis Kellis,Massachusetts Institute of Technology,bio,1.0,0.333333333333,2011
Benjamin J. Raphael,Brown University,bio,3.0,0.916666666667,2009
Gene Myers,Max Planck Institute,bio,1.0,0.333333333333,2011
Wei Wang 0010,University of California - Los Angeles,bio,1.0,0.5,2014
Jason Ernst,University of California - Los Angeles,bio,1.0,0.142857142857,2016
Eleazar Eskin,University of California - Los Angeles,bio,2.0,0.309523809524,2016
Lenore J. Cowen,Tufts University,bio,1.0,0.111111111111,2014
Benjamin J. Hescott,Tufts University,bio,1.0,0.111111111111,2014
Manolis Kellis,Massachusetts Institute of Technology,bio,1.0,0.25,2014
Mark Craven,University of Wisconsin - Madison,bio,1.0,0.25,2009
Jian Peng 0001,University of Illinois at Urbana-Champaign,bio,1.0,0.25,2012
Jinbo Xu,Toyota Technological Institute at Chicago,bio,1.0,0.25,2012
Zhiyong Wang,University of Sydney,bio,1.0,0.5,2013
Jinbo Xu,Toyota Technological Institute at Chicago,bio,2.0,0.75,2013
Alin Dobra,University of Florida,bio,1.0,0.25,2014
Tamer Kahveci,University of Florida,bio,1.0,0.25,2014
Michael Brudno,University of Toronto,bio,1.0,0.333333333333,2014
Bernard M. E. Moret,EPFL,bio,2.0,1.0,2015
Nir Friedman,Hebrew University of Jerusalem,bio,2.0,0.666666666667,2011
Daisuke Kihara,Purdue University,bio,1.0,0.333333333333,2016
Christina Boucher,Colorado State University,bio,1.0,0.25,2015
K. Anton Feenstra,VU Amsterdam,bio,1.0,0.166666666667,2016
Sanne Abeln,VU Amsterdam,bio,1.0,0.166666666667,2016
Jaap Heringa,VU Amsterdam,bio,1.0,0.166666666667,2016
Yufeng Wu,University of Connecticut,bio,1.0,1.0,2016
Srinivasan Parthasarathy,Ohio State University,bio,1.0,0.25,2009
Dan Geiger,Technion - Israel Institute of Technology,bio,1.0,0.333333333333,2009
Süleyman Cenk Sahinalp,Indiana University,bio,1.0,0.25,2009
Eleazar Eskin,University of California - Los Angeles,bio,4.0,0.759523809524,2014
Lei Xie,CUNY,bio,1.0,0.333333333333,2009
Eric P. Xing,Carnegie Mellon University,bio,1.0,0.333333333333,2016
Eran Halperin,Tel Aviv University,bio,1.0,0.166666666667,2014
Jérôme Waldispühl,McGill University,bio,2.0,0.666666666667,2013
Le Song,Georgia Institute of Technology,bio,1.0,0.2,2013
Süleyman Cenk Sahinalp,Indiana University,bio,1.0,0.166666666667,2012
Sorin Istrail,Brown University,bio,1.0,0.5,2013
Alexander J. Hartemink,Duke University,bio,1.0,0.2,2011
Ron Shamir,Tel Aviv University,bio,1.0,0.2,2015
Falk Schreiber,Monash University,bio,1.0,0.333333333333,2011
Ziv Bar-Joseph,Carnegie Mellon University,bio,1.0,0.333333333333,2012
Tandy J. Warnow,University of Illinois at Urbana-Champaign,bio,1.0,0.5,2015
Serafim Batzoglou,Stanford University,bio,1.0,0.166666666667,2009
Padmini Srinivasan,University of Iowa,bio,1.0,0.333333333333,2011
Stefano Lonardi,University of California - Riverside,bio,1.0,0.25,2012
Pavel A. Pevzner,University of California - San Diego,bio,2.0,0.433333333333,2014
Nir Friedman,Hebrew University of Jerusalem,bio,1.0,0.166666666667,2009
Xiaohui Xie,University of California - Irvine,bio,1.0,0.166666666667,2009
Stefan Wuchty,University of Miami,bio,1.0,0.25,2009
Karin Verspoor,University of Melbourne,bio,1.0,0.25,2009
David K. Gifford,Massachusetts Institute of Technology,bio,1.0,0.25,2016
Jaime G. Carbonell,Carnegie Mellon University,bio,1.0,0.333333333333,2013
Martin Ester,Simon Fraser University,bio,1.0,0.166666666667,2011
Süleyman Cenk Sahinalp,Indiana University,bio,1.0,0.166666666667,2011
Itsik Pe'er,Columbia University,bio,1.0,0.5,2013
Gunnar Rätsch,ETH Zurich,bio,1.0,0.25,2016
Bernard M. E. Moret,EPFL,bio,2.0,0.833333333333,2014
Sriram Sankararaman,University of California - Los Angeles,bio,1.0,0.25,2009
Eran Halperin,Tel Aviv University,bio,2.0,0.5,2009
Süleyman Cenk Sahinalp,Indiana University,bio,1.0,0.166666666667,2015
Bobby Bhattacharjee,University of Maryland - College Park,bio,1.0,0.2,2016
Héctor Corrada Bravo,University of Maryland - College Park,bio,1.0,0.2,2016
Yun S. Song,University of California - Berkeley,bio,1.0,0.5,2016
Yun S. Song,University of California - Berkeley,bio,2.0,0.833333333333,2009
Le Song,Georgia Institute of Technology,bio,1.0,0.333333333333,2009
Zhiyong Wang,University of Sydney,bio,1.0,0.5,2011
Jinbo Xu,Toyota Technological Institute at Chicago,bio,1.0,0.5,2011
Bruno A. Gaëta,UNSW,bio,1.0,0.166666666667,2007
Michael E. Bain,UNSW,bio,1.0,0.166666666667,2007
Lior Pachter,University of California - Berkeley,bio,1.0,0.333333333333,2013
Xianghong Jasmine Zhou,University of Southern California,bio,1.0,0.25,2011
Marco Masseroli,Polytechnic University of Milan,bio,1.0,0.125,2015
Stefano Ceri,Polytechnic University of Milan,bio,1.0,0.125,2015
Ming Li 0001,University of Waterloo,bio,1.0,0.2,2009
Serafim Batzoglou,Stanford University,bio,1.0,0.166666666667,2011
Tijana Milenkovic,University of Notre Dame,bio,1.0,0.5,2014
Eric P. Xing,Carnegie Mellon University,bio,1.0,0.5,2012
Heng Huang,University of Texas at Arlington,bio,4.0,1.0,2012
Chris H. Q. Ding,University of Texas at Arlington,bio,3.0,0.833333333333,2012
Ziv Bar-Joseph,Carnegie Mellon University,bio,2.0,0.583333333333,2009
Pierre Baldi,University of California - Irvine,bio,1.0,0.2,2016
Arun Siddharth Konagurthu,Monash University,bio,1.0,0.25,2011
Peter J. Stuckey,University of Melbourne,bio,1.0,0.25,2011
Zhi Wei,NJIT,bio,1.0,0.5,2016
Raymond T. Ng,University of British Columbia,bio,1.0,0.125,2009
Alexander Schliep,Rutgers University,bio,1.0,0.25,2009
Ziv Bar-Joseph,Carnegie Mellon University,bio,1.0,0.2,2016
Jun Wang,University College London,bio,1.0,0.0625,2014
Eric P. Xing,Carnegie Mellon University,bio,2.0,0.583333333333,2011
Tao Jiang 0001,University of California - Riverside,bio,2.0,0.666666666667,2011
Yanni Sun,Michigan State University,bio,1.0,0.25,2015
Paul Medvedev,Pennsylvania State University,bio,3.0,1.03333333333,2016
Serafim Batzoglou,Stanford University,bio,1.0,0.333333333333,2016
Koby Crammer,Technion - Israel Institute of Technology,bio,1.0,0.333333333333,2012
Tijana Milenkovic,University of Notre Dame,bio,1.0,0.333333333333,2015
Jian Peng 0001,University of Illinois at Urbana-Champaign,bio,1.0,0.166666666667,2013
Lenore J. Cowen,Tufts University,bio,1.0,0.166666666667,2013
Bonnie Berger,Massachusetts Institute of Technology,bio,1.0,0.166666666667,2013
Xiaohui Xie,University of California - Irvine,bio,1.0,0.5,2014
Pavel A. Pevzner,University of California - San Diego,bio,2.0,0.6,2015
Hagit Shatkay,University of Delaware,bio,1.0,0.25,2015
Francis R. Bach,Ecole Normale Superieure,bio,1.0,0.333333333333,2009
Tao Jiang 0001,University of California - Riverside,bio,1.0,0.333333333333,2014
Giovanni De Micheli,EPFL,bio,1.0,0.2,2009
Vineet Bafna,University of California - San Diego,bio,2.0,0.7,2014
Christina Boucher,Colorado State University,bio,1.0,0.25,2012
Pavel A. Pevzner,University of California - San Diego,bio,2.0,0.416666666667,2012
Leonard McMillan,University of North Carolina,bio,1.0,0.142857142857,2013
Wei Wang 0010,University of California - Los Angeles,bio,1.0,0.142857142857,2013
Eytan Ruppin,University of Maryland - College Park,bio,1.0,0.25,2009
Tomer Shlomi,Technion - Israel Institute of Technology,bio,1.0,0.25,2009
Alexander J. Hartemink,Duke University,bio,1.0,0.5,2009
Tommi S. Jaakkola,Massachusetts Institute of Technology,bio,1.0,0.166666666667,2012
David K. Gifford,Massachusetts Institute of Technology,bio,1.0,0.166666666667,2012
Bonnie Berger,Massachusetts Institute of Technology,bio,1.0,0.333333333333,2016
Michael I. Jordan,University of California - Berkeley,bio,1.0,0.333333333333,2009
Eytan Ruppin,University of Maryland - College Park,bio,4.0,0.866666666667,2007
Serafim Batzoglou,Stanford University,bio,4.0,0.891666666667,2013
Manolis Kellis,Massachusetts Institute of Technology,bio,1.0,0.333333333333,2012
Robert Patro,Stony Brook University,bio,1.0,0.25,2016
Javad Sadri,Concordia University,bio,1.0,0.333333333333,2011
Mathieu Blanchette,McGill University,bio,2.0,0.833333333333,2011
Arun Siddharth Konagurthu,Monash University,bio,1.0,0.333333333333,2012
Sorin Istrail,Brown University,bio,1.0,0.25,2012
Jinbo Bi,University of Connecticut,bio,1.0,0.25,2016
Eleazar Eskin,University of California - Los Angeles,bio,3.0,0.783333333333,2012
Ron Shamir,Tel Aviv University,bio,1.0,0.5,2013
Stefano Lonardi,University of California - Riverside,bio,1.0,0.333333333333,2015
Pierre Baldi,University of California - Irvine,bio,1.0,0.333333333333,2014
Carl Kingsford,Carnegie Mellon University,bio,2.0,0.833333333333,2015
Robert Patro,Stony Brook University,bio,1.0,0.5,2015
Martin Vingron,Max Planck Institute,bio,1.0,0.5,2014
Predrag Radivojac,Indiana University,bio,1.0,0.5,2013
Weng-Keen Wong,Oregon State University,bio,1.0,0.2,2010
Tamer Kahveci,University of Florida,bio,1.0,0.5,2011
Olga Vitek,Northeastern University,bio,1.0,0.1,2015
Roded Sharan,Tel Aviv University,bio,1.0,0.25,2016
François Major,University of Montreal,bio,1.0,0.333333333333,2012
Jérôme Waldispühl,McGill University,bio,1.0,0.333333333333,2012
Sushmita Roy,University of Wisconsin - Madison,bio,1.0,0.333333333333,2011
Mona Singh,Princeton University,bio,1.0,0.5,2008
Ananth Grama,Purdue University,bio,1.0,0.5,2016
Alexander J. Hartemink,Duke University,bio,1.0,0.2,2013
Barbara E. Engelhardt,Princeton University,bio,1.0,0.2,2013
Bonnie Berger,Massachusetts Institute of Technology,bio,1.0,0.2,2015
Jian Peng 0001,University of Illinois at Urbana-Champaign,bio,1.0,0.2,2015
Nathan Linial,Hebrew University of Jerusalem,bio,1.0,0.333333333333,2011
Jérôme Waldispühl,McGill University,bio,3.0,0.842857142857,2011
Srinivas Devadas,Massachusetts Institute of Technology,bio,2.0,0.342857142857,2011
Bonnie Berger,Massachusetts Institute of Technology,bio,2.0,0.342857142857,2011
Zhen Zhang,Ecole Normale Superieure,bio,1.0,0.125,2016
Jun Wang,University College London,bio,1.0,0.125,2016
Wei Xu,Ohio State University,bio,1.0,0.25,2014
Bruce Randall Donald,Duke University,bio,1.0,0.25,2014
Eran Halperin,Tel Aviv University,bio,1.0,0.25,2015
Sriram Sankararaman,University of California - Los Angeles,bio,1.0,0.25,2015
Srinivasan Parthasarathy,Ohio State University,bio,1.0,0.5,2012
Benjamin J. Raphael,Brown University,bio,2.0,0.583333333333,2015
Yang Cao,Virginia Tech,bio,1.0,0.5,2014
Anthony Gitter,University of Wisconsin - Madison,bio,1.0,0.5,2013
Inderjit S. Dhillon,University of Texas at Austin,bio,1.0,0.5,2014
Burkhard Rost,TU Munich,bio,1.0,0.5,2015
Zhaohui S. Qin,Emory University,bio,1.0,0.25,2015
Rafail Ostrovsky,University of California - Los Angeles,bio,1.0,0.142857142857,2014
Amit Sahai,University of California - Los Angeles,bio,1.0,0.142857142857,2014
Vladimir Jojic,University of North Carolina,bio,2.0,0.45,2015
Paul Medvedev,Pennsylvania State University,bio,1.0,0.5,2013
Xavier Tricoche,Purdue University,vis,2.0,0.533333333333,2008
Gordon L. Kindlmann,University of Chicago,vis,1.0,0.5,2010
