name,affiliation,homepage,scholarid,orcid
S. A. Puzynina,Ecole Normale Superieure de Lyon,http://math.nsc.ru/~puzynina,NOSCHOLARPAGE,0000-0000-0000-0000
S. Akshay 0001,IIT Bombay,https://www.cse.iitb.ac.in/~akshayss,0XXd3J0AAAAJ,0000-0002-2471-5997
S. Arun-Kumar 0004,IIT Delhi,http://www.cse.iitd.ernet.in/~sak,kfWW5x4AAAAJ,0000-0000-0000-0000
S. Arunkumar 0004,IIT Delhi,http://www.cse.iitd.ernet.in/~sak,kfWW5x4AAAAJ,0000-0000-0000-0000
S. Bapi Raju,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/rajubapi,bbSYyiAAAAAJ,0000-0000-0000-0000
S. Ben Slimane,KTH Royal Inst. of Technology,https://www.kth.se/profile/slimane,zSfzj6sAAAAJ,0000-0000-0000-0000
S. C. Mukhopadhyay,Massey University,http://www.massey.ac.nz/massey/expertise/profile.cfm?stref=265530,fsu2yL8AAAAJ,0000-0000-0000-0000
S. Dov Gordon,George Mason University,http://cs.gmu.edu/~gordon,wS_5894AAAAJ,0009-0001-6490-1786
S. E. M. O'Keefe,University of York,https://www-users.cs.york.ac.uk/~sok,QL1JHlUAAAAJ,0000-0000-0000-0000
S. Hamed Hassani,University of Pennsylvania,https://www.seas.upenn.edu/~hassani,M9V6y-0AAAAJ,0000-0000-0000-0000
S. J. Creese,University of Oxford,http://www.cs.ox.ac.uk/sadie.creese,hZ3DmHkAAAAJ,0000-0000-0000-0000
S. J. Overbeek,Utrecht University,http://www.sietseoverbeek.nl,JEmkfmsAAAAJ,0000-0000-0000-0000
S. J. Wright,Monash University,http://monash.edu/research/explore/en/persons/steven-wright(40be3258-c026-4e34-a74d-08837c38344b).html,icJpxpMAAAAJ,0000-0000-0000-0000
S. Krishna 0004,IIT Bombay,https://www.cse.iitb.ac.in/~krishnas,14JlaZsAAAAJ,0000-0003-0925-398X
S. Lakshmivarahan,University of Oklahoma,http://www.ou.edu/coe/cs/people/varahan,NOSCHOLARPAGE,0000-0000-0000-0000
S. M. Rezaul Hasan,Massey University,http://www.massey.ac.nz/~smhasan,NOSCHOLARPAGE,0000-0000-0000-0000
S. M. Shahriar Nirjon,University of North Carolina,http://cs.unc.edu/~nirjon,CsGlDGEAAAAJ,0000-0000-0000-0000
S. Manoharan,University of Auckland,https://unidirectory.auckland.ac.nz/profile/s-manoharan,55FwvisAAAAJ,0000-0000-0000-0000
S. Masoud Sadjadi,Florida International University,http://www.cis.fiu.edu/~sadjadi,qmkC7FQAAAAJ,0000-0000-0000-0000
S. Matthew Weinberg,Princeton University,https://www.cs.princeton.edu/~smattw,CBUpEcQAAAAJ,0000-0001-7744-795X
S. P. Luttik,TU Eindhoven,http://www.win.tue.nl/~luttik,mwYLD4QAAAAJ,0000-0000-0000-0000
S. P. Suresh,CMI,http://www.cmi.ac.in/~spsuresh,S0fWcAoAAAAJ,0000-0000-0000-0000
S. Prahallad Kishore,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/kishore,3-8i_54AAAAJ,0000-0000-0000-0000
S. Q. Zheng,University of Texas at Dallas,http://www.utdallas.edu/~sizheng,NOSCHOLARPAGE,0000-0000-0000-0000
S. R. N. Reddy,IGDTUW,https://www.igdtuw.ac.in/computerScience.php?name=SRNReddy,KC5ePSoAAAAJ,0000-0000-0000-0000
S. R. S. Iyengar,IIT Ropar,http://sudarshaniyengar.com,NOSCHOLARPAGE,0000-0000-0000-0000
S. R. Sathe,VNIT Nagpur,https://vnit.ac.in/engineering/cse/dr-s-r-sathe,NOSCHOLARPAGE,0000-0000-0000-0000
S. Raja 0001,IIT Tirupati,https://iittp.ac.in/dr-s-raja,u_u7LggAAAAJ,0000-0000-0000-0000
S. Rao Kosaraju,Johns Hopkins University,http://www.cs.jhu.edu/~kosaraju,NOSCHOLARPAGE,0000-0000-0000-0000
S. S. Iyengar 0001,Florida International University,http://users.cis.fiu.edu/~iyengar,eNONM8AAAAAJ,0000-0003-2944-8178
S. Shaheen Fatima,Loughborough University,https://www.lboro.ac.uk/departments/compsci/staff/academic-teaching/shaheen-fatima,KqRKHv4AAAAJ,0000-0000-0000-0000
S. Shankar Sastry,Univ. of California - Berkeley,http://robotics.eecs.berkeley.edu/~sastry,KgZxzjsAAAAJ,0000-0000-0000-0000
S. Sitharama Iyengar,Florida International University,http://users.cis.fiu.edu/~iyengar,eNONM8AAAAAJ,0000-0003-2944-8178
S. Srinivasa Rao 0001,Seoul National University,http://tcs.snu.ac.kr/members/ssrao,ZFDS3bEAAAAJ,0000-0000-0000-0000
S. Sudarshan 0001,IIT Bombay,https://www.cse.iitb.ac.in/~sudarsha,KtP9-zYAAAAJ,0000-0002-6230-2288
S. V. N. Vishwanathan,Univ. of California - Santa Cruz,https://www.soe.ucsc.edu/people/vishy,tqcSvFIAAAAJ,0009-0007-0041-3488
S. V. Rao,IIT Guwahati,https://www.iitg.ernet.in/svrao,4NoqGCEAAAAJ,0000-0000-0000-0000
S.-H. Gary Chan,HKUST,https://home.cse.ust.hk/~gchan,uiCSOycAAAAJ,0000-0003-4207-764X
Saad Biaz,Auburn University,http://www.eng.auburn.edu/users/sbiaz,B4fHhe0AAAAJ,0000-0000-0000-0000
Saad Hassan,Tulane University,https://sse.tulane.edu/cs/faculty/hassan,oy6dZIIAAAAJ,0000-0003-2792-2964
Saad Mneimneh,CUNY,http://www.cs.hunter.cuny.edu/~saad,8dRxlUsAAAAJ,0000-0000-0000-0000
Saadia Gabriel,Univ. of California - Los Angeles,https://saadiagabriel.com,VrFFU84AAAAJ,0009-0001-9353-951X
Saba Alimadadi,Simon Fraser University,http://www.ece.ubc.ca/~saba,zqiilhcAAAAJ,0000-0002-5667-152X
Saba Eskandarian,University of North Carolina,https://www.cs.unc.edu/~saba,WncvzksAAAAJ,0000-0000-0000-0000
Sabarish V. Babu,Clemson University,http://sbabu.people.clemson.edu,72RvQTgAAAAJ,0000-0002-8348-0534
Saber Salehkaleybar,Leiden University,https://sabersalehk.github.io,-f0AwZcAAAAJ,0000-0000-0000-0000
Sabine Bergler,Concordia University,http://www.cs.concordia.ca/~bergler,o4FjPMIAAAAJ,0000-0000-0000-0000
Sabine Glesner,TU Berlin,https://www.sese.tu-berlin.de/menue/ueber_uns/team/sabine_glesner,fIL76aIAAAAJ,0000-0000-0000-0000
Sabine Oechsner,VU Amsterdam,https://soechsner.de,KQjMMacAAAAJ,0000-0002-4612-2471
Sabine Roller,TU Dresden,https://www.dlr.de/en/sp,t0bQs8oAAAAJ,0000-0000-0000-0000
Sabine Schulte im Walde,University of Stuttgart,https://www.ims.uni-stuttgart.de/institut/mitarbeiter/schulte,kObRYIAAAAAJ,0000-0000-0000-0000
Sabine Süsstrunk,EPFL,http://ivrl.epfl.ch/people/susstrunk,EX3OYP4AAAAJ,0000-0002-0441-6068
Sabine Timpf,University of Augsburg,https://www.uni-augsburg.de/en/fakultaet/fai/geo/prof/geoinf/geoinf-team/s-timpf,LT_XljUAAAAJ,0000-0000-0000-0000
Sabrina M. Neuman,Boston University,https://sites.bu.edu/sneuman,5OVcAw4AAAAJ,0000-0001-5772-5916
Sabrina Marczak,PUC-RS,http://www.inf.pucrs.br/sabrina.marczak/SabrinaMarczak/Welcome.html,tjnEfX4AAAAJ,0000-0000-0000-0000
Sabrina Senatore,University of Salerno,http://docenti.unisa.it/005133/home,dkBV8b8AAAAJ,0000-0000-0000-0000
Sabrina de Azevedo Silveira,Universidade Federal de Viçosa,http://homepages.dcc.ufmg.br%2C~sabrinas,NOSCHOLARPAGE,0000-0000-0000-0000
Sabyasachi Karati,ISI Kolkata,https://www.isical.ac.in/~skarati,NOSCHOLARPAGE,0000-0000-0000-0000
Sachin Chaudhari,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/sachin.chaudhari,vowwEQgAAAAJ,0000-0000-0000-0000
Sachin Kumar 0009,Ohio State University,https://shocheen.com,qO38fRIAAAAJ,0009-0001-4400-114X
Sachit Rao,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=SachitRao,NOSCHOLARPAGE,0000-0000-0000-0000
Sadao Kurohashi,Kyoto University,http://nlp.ist.i.kyoto-u.ac.jp/member/kuro/index.html,gpKS5P0AAAAJ,0000-0000-0000-0000
Sadegh Talebi,University of Copenhagen,https://di.ku.dk/english/staff/vip/researchers_ml/?pure=en/persons/673024,Q4_AHDYAAAAJ,0000-0000-0000-0000
Sadek Belamfedel Alaoui,Mohammed VI Polytechnic University,https://cc.um6p.ma/people/Sadek.ALAOUI,bnml-uYAAAAJ,0000-0000-0000-0000
Sadia Sharmin,BUET,https://cse.buet.ac.bd/faculty_list/detail/sadia,NOSCHOLARPAGE,0000-0001-7017-1022
Sadie Creese,University of Oxford,http://www.cs.ox.ac.uk/sadie.creese,hZ3DmHkAAAAJ,0000-0000-0000-0000
