year,start,end,doi,numPages
2010,2,6,https://doi.org/10.1145/1734263.1734267,5
2010,7,11,https://doi.org/10.1145/1734263.1734268,5
2010,12,16,https://doi.org/10.1145/1734263.1734269,5
2010,17,21,https://doi.org/10.1145/1734263.1734271,5
2010,22,26,https://doi.org/10.1145/1734263.1734272,5
2010,27,31,https://doi.org/10.1145/1734263.1734273,5
2010,32,36,https://doi.org/10.1145/1734263.1734275,5
2010,37,41,https://doi.org/10.1145/1734263.1734276,5
2010,42,46,https://doi.org/10.1145/1734263.1734277,5
2010,47,51,https://doi.org/10.1145/1734263.1734279,5
2010,52,56,https://doi.org/10.1145/1734263.1734280,5
2010,57,61,https://doi.org/10.1145/1734263.1734281,5
2010,72,76,https://doi.org/10.1145/1734263.1734290,5
2010,77,81,https://doi.org/10.1145/1734263.1734291,5
2010,82,86,https://doi.org/10.1145/1734263.1734293,5
2010,87,91,https://doi.org/10.1145/1734263.1734294,5
2010,92,96,https://doi.org/10.1145/1734263.1734295,5
2010,97,101,https://doi.org/10.1145/1734263.1734297,5
2010,102,106,https://doi.org/10.1145/1734263.1734298,5
2010,107,111,https://doi.org/10.1145/1734263.1734299,5
2010,112,116,https://doi.org/10.1145/1734263.1734301,5
2010,117,121,https://doi.org/10.1145/1734263.1734302,5
2010,122,126,https://doi.org/10.1145/1734263.1734303,5
2010,133,137,https://doi.org/10.1145/1734263.1734311,5
2010,138,142,https://doi.org/10.1145/1734263.1734312,5
2010,143,147,https://doi.org/10.1145/1734263.1734313,5
2010,152,156,https://doi.org/10.1145/1734263.1734316,5
2010,157,161,https://doi.org/10.1145/1734263.1734317,5
2010,162,166,https://doi.org/10.1145/1734263.1734319,5
2010,167,171,https://doi.org/10.1145/1734263.1734320,5
2010,172,176,https://doi.org/10.1145/1734263.1734321,5
2010,177,181,https://doi.org/10.1145/1734263.1734323,5
2010,182,186,https://doi.org/10.1145/1734263.1734324,5
2010,187,191,https://doi.org/10.1145/1734263.1734325,5
2010,199,203,https://doi.org/10.1145/1734263.1734335,5
2010,204,208,https://doi.org/10.1145/1734263.1734336,5
2010,209,213,https://doi.org/10.1145/1734263.1734337,5
2010,214,218,https://doi.org/10.1145/1734263.1734339,5
2010,219,223,https://doi.org/10.1145/1734263.1734340,5
2010,224,228,https://doi.org/10.1145/1734263.1734341,5
2010,229,233,https://doi.org/10.1145/1734263.1734343,5
2010,234,238,https://doi.org/10.1145/1734263.1734344,5
2010,239,243,https://doi.org/10.1145/1734263.1734345,5
2010,244,248,https://doi.org/10.1145/1734263.1734347,5
2010,249,253,https://doi.org/10.1145/1734263.1734348,5
2010,254,258,https://doi.org/10.1145/1734263.1734349,5
2010,265,269,https://doi.org/10.1145/1734263.1734357,5
2010,270,274,https://doi.org/10.1145/1734263.1734358,5
2010,275,279,https://doi.org/10.1145/1734263.1734359,5
2010,280,284,https://doi.org/10.1145/1734263.1734361,5
2010,285,289,https://doi.org/10.1145/1734263.1734362,5
2010,290,294,https://doi.org/10.1145/1734263.1734363,5
2010,295,299,https://doi.org/10.1145/1734263.1734365,5
2010,300,304,https://doi.org/10.1145/1734263.1734366,5
2010,305,309,https://doi.org/10.1145/1734263.1734367,5
2010,310,314,https://doi.org/10.1145/1734263.1734369,5
2010,315,319,https://doi.org/10.1145/1734263.1734370,5
2010,320,324,https://doi.org/10.1145/1734263.1734371,5
2010,331,335,https://doi.org/10.1145/1734263.1734379,5
2010,336,340,https://doi.org/10.1145/1734263.1734380,5
2010,341,345,https://doi.org/10.1145/1734263.1734381,5
2010,346,350,https://doi.org/10.1145/1734263.1734383,5
2010,351,355,https://doi.org/10.1145/1734263.1734384,5
2010,356,360,https://doi.org/10.1145/1734263.1734385,5
2010,361,365,https://doi.org/10.1145/1734263.1734387,5
2010,366,370,https://doi.org/10.1145/1734263.1734388,5
2010,371,375,https://doi.org/10.1145/1734263.1734389,5
2010,376,380,https://doi.org/10.1145/1734263.1734391,5
2010,385,389,https://doi.org/10.1145/1734263.1734393,5
2010,396,400,https://doi.org/10.1145/1734263.1734401,5
2010,401,405,https://doi.org/10.1145/1734263.1734402,5
2010,406,410,https://doi.org/10.1145/1734263.1734403,5
2010,411,415,https://doi.org/10.1145/1734263.1734404,5
2010,416,420,https://doi.org/10.1145/1734263.1734406,5
2010,421,425,https://doi.org/10.1145/1734263.1734407,5
2010,426,430,https://doi.org/10.1145/1734263.1734408,5
2010,431,435,https://doi.org/10.1145/1734263.1734409,5
2010,436,440,https://doi.org/10.1145/1734263.1734411,5
2010,441,445,https://doi.org/10.1145/1734263.1734412,5
2010,446,450,https://doi.org/10.1145/1734263.1734413,5
2010,455,459,https://doi.org/10.1145/1734263.1734416,5
2010,460,464,https://doi.org/10.1145/1734263.1734417,5
2010,465,469,https://doi.org/10.1145/1734263.1734418,5
2010,470,474,https://doi.org/10.1145/1734263.1734419,5
2010,480,484,https://doi.org/10.1145/1734263.1734427,5
2010,485,489,https://doi.org/10.1145/1734263.1734428,5
2010,490,494,https://doi.org/10.1145/1734263.1734429,5
2010,495,499,https://doi.org/10.1145/1734263.1734431,5
2010,500,504,https://doi.org/10.1145/1734263.1734432,5
2010,505,509,https://doi.org/10.1145/1734263.1734433,5
2010,510,514,https://doi.org/10.1145/1734263.1734435,5
2010,515,519,https://doi.org/10.1145/1734263.1734436,5
2010,524,528,https://doi.org/10.1145/1734263.1734439,5
2010,529,533,https://doi.org/10.1145/1734263.1734440,5
2010,534,538,https://doi.org/10.1145/1734263.1734441,5
2010,539,543,https://doi.org/10.1145/1734263.1734443,5
2010,544,548,https://doi.org/10.1145/1734263.1734444,5
2010,549,553,https://doi.org/10.1145/1734263.1734445,5
2011,9,14,https://doi.org/10.1145/1953163.1953173,6
2011,9,14,https://doi.org/10.1145/1953163.1953173,6
2011,15,20,https://doi.org/10.1145/1953163.1953174,6
2011,15,20,https://doi.org/10.1145/1953163.1953174,6
2011,21,26,https://doi.org/10.1145/1953163.1953175,6
2011,21,26,https://doi.org/10.1145/1953163.1953175,6
2011,27,32,https://doi.org/10.1145/1953163.1953177,6
2011,27,32,https://doi.org/10.1145/1953163.1953177,6
2011,33,38,https://doi.org/10.1145/1953163.1953178,6
2011,33,38,https://doi.org/10.1145/1953163.1953178,6
2011,39,44,https://doi.org/10.1145/1953163.1953179,6
2011,39,44,https://doi.org/10.1145/1953163.1953179,6
2011,45,50,https://doi.org/10.1145/1953163.1953181,6
2011,45,50,https://doi.org/10.1145/1953163.1953181,6
2011,51,56,https://doi.org/10.1145/1953163.1953182,6
2011,51,56,https://doi.org/10.1145/1953163.1953182,6
2011,57,62,https://doi.org/10.1145/1953163.1953183,6
2011,57,62,https://doi.org/10.1145/1953163.1953183,6
2011,63,68,https://doi.org/10.1145/1953163.1953185,6
2011,63,68,https://doi.org/10.1145/1953163.1953185,6
2011,69,74,https://doi.org/10.1145/1953163.1953186,6
2011,69,74,https://doi.org/10.1145/1953163.1953186,6
2011,75,80,https://doi.org/10.1145/1953163.1953187,6
2011,75,80,https://doi.org/10.1145/1953163.1953187,6
2011,87,92,https://doi.org/10.1145/1953163.1953195,6
2011,87,92,https://doi.org/10.1145/1953163.1953195,6
2011,93,98,https://doi.org/10.1145/1953163.1953196,6
2011,93,98,https://doi.org/10.1145/1953163.1953196,6
2011,99,104,ttp://dx.doi.org/10.1145/1953163.1953197,6
2011,99,104,ttp://dx.doi.org/10.1145/1953163.1953197,6
2011,105,110,https://doi.org/10.1145/1953163.1953199,6
2011,105,110,https://doi.org/10.1145/1953163.1953199,6
2011,111,116,ttp://dx.doi.org/10.1145/1953163.1953200,6
2011,111,116,ttp://dx.doi.org/10.1145/1953163.1953200,6
2011,117,122,https://doi.org/10.1145/1953163.1953201,6
2011,117,122,https://doi.org/10.1145/1953163.1953201,6
2011,123,128,https://doi.org/10.1145/1953163.1953203,6
2011,123,128,https://doi.org/10.1145/1953163.1953203,6
2011,129,134,https://doi.org/10.1145/1953163.1953204,6
2011,129,134,https://doi.org/10.1145/1953163.1953204,6
2011,135,140,https://doi.org/10.1145/1953163.1953205,6
2011,135,140,https://doi.org/10.1145/1953163.1953205,6
2011,141,146,https://doi.org/10.1145/1953163.1953207,6
2011,141,146,https://doi.org/10.1145/1953163.1953207,6
2011,147,152,https://doi.org/10.1145/1953163.1953208,6
2011,147,152,https://doi.org/10.1145/1953163.1953208,6
2011,153,158,https://doi.org/10.1145/1953163.1953209,6
2011,153,158,https://doi.org/10.1145/1953163.1953209,6
2011,165,170,https://doi.org/10.1145/1953163.1953217,6
2011,165,170,https://doi.org/10.1145/1953163.1953217,6
2011,171,176,https://doi.org/10.1145/1953163.1953218,6
2011,171,176,https://doi.org/10.1145/1953163.1953218,6
2011,177,182,https://doi.org/10.1145/1953163.1953219,6
2011,177,182,https://doi.org/10.1145/1953163.1953219,6
2011,183,188,https://doi.org/10.1145/1953163.1953221,6
2011,183,188,https://doi.org/10.1145/1953163.1953221,6
2011,189,194,https://doi.org/10.1145/1953163.1953222,6
2011,189,194,https://doi.org/10.1145/1953163.1953222,6
2011,195,200,https://doi.org/10.1145/1953163.1953223,6
2011,195,200,https://doi.org/10.1145/1953163.1953223,6
2011,201,206,https://doi.org/10.1145/1953163.1953225,6
2011,201,206,https://doi.org/10.1145/1953163.1953225,6
2011,207,212,https://doi.org/10.1145/1953163.1953226,6
2011,207,212,https://doi.org/10.1145/1953163.1953226,6
2011,213,218,https://doi.org/10.1145/1953163.1953227,6
2011,213,218,https://doi.org/10.1145/1953163.1953227,6
2011,219,224,https://doi.org/10.1145/1953163.1953229,6
2011,219,224,https://doi.org/10.1145/1953163.1953229,6
2011,225,230,https://doi.org/10.1145/1953163.1953230,6
2011,225,230,https://doi.org/10.1145/1953163.1953230,6
2011,231,236,https://doi.org/10.1145/1953163.1953231,6
2011,231,236,https://doi.org/10.1145/1953163.1953231,6
2011,245,250,https://doi.org/10.1145/1953163.1953241,6
2011,245,250,https://doi.org/10.1145/1953163.1953241,6
2011,251,256,https://doi.org/10.1145/1953163.1953242,6
2011,251,256,https://doi.org/10.1145/1953163.1953242,6
2011,257,262,https://doi.org/10.1145/1953163.1953243,6
2011,257,262,https://doi.org/10.1145/1953163.1953243,6
2011,263,268,https://doi.org/10.1145/1953163.1953245,6
2011,263,268,https://doi.org/10.1145/1953163.1953245,6
2011,269,274,https://doi.org/10.1145/1953163.1953246,6
2011,269,274,https://doi.org/10.1145/1953163.1953246,6
2011,275,280,https://doi.org/10.1145/1953163.1953247,6
2011,275,280,https://doi.org/10.1145/1953163.1953247,6
2011,281,286,https://doi.org/10.1145/1953163.1953249,6
