name,affiliation,homepage,scholarid,orcid
T. C. Nicholas Graham,Queen’s University,http://www.cs.queensu.ca/~graham,urD_r2EAAAAJ,0000-0001-6723-1936
T. Daniel Loveless,Indiana University,https://luddy.indiana.edu/contact/profile/index.html?Daniel_Loveless,HPm-6isAAAAJ,0000-0000-0000-0000
T. Dean Hendrix,Auburn University,http://www.auburn.edu/~hendrtd,NOSCHOLARPAGE,0000-0000-0000-0000
T. E. Starner,Georgia Institute of Technology,http://www.cc.gatech.edu/home/thad,qr8Vo9IAAAAJ,0000-0000-0000-0000
T. Ian Simpson,University of Edinburgh,http://www.inf.ed.ac.uk/people/staff/Ian_Simpson.html,rmKe2dYAAAAJ,0000-0000-0000-0000
T. K. Srikanth,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=TKSrikanth,IFuQJy0AAAAJ,0000-0001-6780-6728
T. Kesavadas,University at Albany - SUNY,https://www.albany.edu/research-economic-development/faculty/thenkurussi-kesh-kesavadas,gOOXpw0AAAAJ,0000-0000-0000-0000
T. M. Murali 0001,Virginia Tech,https://bioinformatics.cs.vt.edu/~murali,pdpOwtkAAAAJ,0000-0003-3688-4672
T. Metin Sezgin,Koç University,http://portal.ku.edu.tr/~mtsezgin,54PfvHMAAAAJ,0000-0002-1524-1646
T. N. Tan,Chinese Academy of Sciences,http://english.cas.cn/about_us/administration/administrators/201409/t20140926_128522.html,W-FGd_UAAAAJ,0000-0000-0000-0000
T. N. Vijaykumar,Purdue University,https://engineering.purdue.edu/ECE/People/ptProfile?resource_id=3293,6eun8QkAAAAJ,0000-0001-6624-4372
T. Patrick Martin,Queen’s University,http://www.cs.queensu.ca/home/martin,KgIpvIsAAAAJ,0000-0000-0000-0000
T. Ramakrishnudu,National Inst. of Tech. Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16344,oscHBicAAAAJ,0000-0000-0000-0000
T. S. E. Maibaum,McMaster University,http://www.cas.mcmaster.ca/~maibaum,NOSCHOLARPAGE,0000-0000-0000-0000
T. S. Eugene Ng,Rice University,https://www.cs.rice.edu/~eugeneng,P07ZE9sAAAAJ,0000-0003-2954-0767
T. V. Prabhakar,IIT Kanpur,http://www.cse.iitk.ac.in/users/tvp,vWvglUgAAAAJ,0000-0000-0000-0000
T. Venkatesh,IIT Guwahati,http://www.iitg.ernet.in/t.venkat,yxogbeoAAAAJ,0000-0000-0000-0000
T. Yung Kong,CUNY,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/T-Yung-Kong,Hbb5UBgAAAAJ,0000-0000-0000-0000
T. Z. Kalamboukis,AUEB,https://uregister-ldap.aueb.gr/en/faculty/kalamboukis-theodore,NOSCHOLARPAGE,0000-0000-0000-0000
T.-H. Hubert Chan,University of Hong Kong,https://i.cs.hku.hk/~hubert,F8_JP6sAAAAJ,0000-0002-8340-235X
Tachio Terauchi,Waseda University,http://www.f.waseda.jp/terauchi/index.html,-xOKb8sAAAAJ,0000-0001-5305-4916
Tack-Don Han,Yonsei University,https://sites.google.com/site/ysmslys/the-team/professor,9ws32TIAAAAJ,0000-0000-0000-0000
Tadao Murata,University of Illinois at Chicago,https://www.cs.uic.edu/k-Teacher/tadao-murataphd,NOSCHOLARPAGE,0000-0000-0000-0000
Tadao Takaoka,University of Canterbury,http://www.cosc.canterbury.ac.nz/tad.takaoka,M5viz6kAAAAJ,0000-0000-0000-0000
Tadayoshi Kohno,University of Washington,http://homes.cs.washington.edu/~yoshi,s_YDrrgAAAAJ,0000-0002-4899-226X
Tae H. Oh,Rochester Inst. of Technology,https://www.rit.edu/gccis/computingsecurity/people/tom-oh,ugbZoXwAAAAJ,0000-0000-0000-0000
Tae Hee Han,Sungkyunkwan University,https://sites.google.com/view/idealab400525/home,4m_r2psAAAAJ,0000-0001-8508-7536
Tae Hyun Hwang,Vanderbilt University,https://www.hwanglab.org,YCgx9yUAAAAJ,0000-0000-0000-0000
Tae Hyun Kim 0006,Hanyang University,https://sites.google.com/site/lliger9/home,NOSCHOLARPAGE,0000-0000-0000-0000
Tae Hyun Oh,KAIST,https://ami.kaist.ac.kr,dMCBjeIAAAAJ,0000-0003-0468-1571
Tae-Eui Kam,Korea University,http://mailab.korea.ac.kr,y7B2OsUAAAAJ,0000-0000-0000-0000
Tae-Hyuk Ahn,Saint Louis University,https://cs.slu.edu/people/ahn,LzZLPpAAAAAJ,0000-0002-7281-9459
Tae-Hyun Oh,KAIST,https://ami.kaist.ac.kr,dMCBjeIAAAAJ,0000-0003-0468-1571
Tae-Kyun Kim 0001,KAIST,https://sites.google.com/view/tkkim,j2WcLecAAAAJ,0000-0002-7587-6053
Taegyu Kim,Pennsylvania State University,https://tgkim.gitlab.io,XYW3vWEAAAAJ,0000-0003-1023-3417
Taeho Jung,University of Notre Dame,https://sites.nd.edu/taeho-jung,j7wN3bYAAAAJ,0000-0000-0000-0000
Taehwan Kim,UNIST,https://sites.google.com/view/taehwankim,5dGWexcAAAAJ,0009-0002-3336-7848
Taehyun Kim 0002,Seoul National University,https://cse.snu.ac.kr/en/professor/taehyun-kim,xLVkHSAAAAAJ,0000-0003-3532-864X
Taehyun Rhee,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/1084098-taehyun-rhee,q-BjS1gAAAAJ,0000-0002-6150-0637
Taejoon Park,Hanyang University,http://cai.hanyang.ac.kr/sub2_1.php,ijf6dGMAAAAJ,0000-0000-0000-0000
Taejoong Chung,Virginia Tech,https://taejoong.github.io,_0mWbaoAAAAJ,0000-0002-4323-4080
Taekyoung Kwon 0001,Seoul National University,http://mmlab.snu.ac.kr/~tk,ruxWSFsAAAAJ,0000-0000-0000-0000
Taesik Gong,UNIST,https://taesikgong.com,bcmJw7AAAAAJ,0000-0002-8967-3652
Taesoo Kim,Georgia Institute of Technology,https://taesoo.gtisc.gatech.edu,06hgT8gAAAAJ,0000-0002-7440-2067
Taesoo Kwon,Hanyang University,http://calab.hanyang.ac.kr/cgi-bin/home.cgi?node=Taesoo,rHOTTI0AAAAJ,0000-0002-9253-2156
Taesup Kim,Seoul National University,https://www.snu-laal.com/team,7V7yNeoAAAAJ,0009-0005-6056-6836
Taesup Moon,Seoul National University,https://mindlab-snu.github.io/people/pi,lQlioBoAAAAJ,0000-0000-0000-0000
Taeweon Suh,Korea University,http://esca.korea.ac.kr,3Db9vssAAAAJ,0000-0002-6377-5482
Taflan Imre Gündem,Boğaziçi University,https://www.cmpe.boun.edu.tr/~gundem,NOSCHOLARPAGE,0000-0000-0000-0000
Taghi M. Khoshgoftaar,Florida Atlantic University,http://www.cse.fau.edu/~taghi,-PgNSCAAAAAJ,0000-0000-0000-0000
Taghi Mostafavi,UNC - Charlotte,https://webpages.uncc.edu/taghi,NOSCHOLARPAGE,0000-0000-0000-0000
Taho Yang,National Cheng Kung University,http://www.csie.ncku.edu.tw/ncku_csie/depmember/teacherdetail/id/41,R1C6VZYAAAAJ,0000-0000-0000-0000
Tai Sing Lee,Carnegie Mellon University,http://www.cnbc.cmu.edu/~tai,9TAiIIMAAAAJ,0000-0000-0000-0000
Taieb F. Znati,University of Pittsburgh,https://cs.pitt.edu/~znati,UnixVNQAAAAJ,0000-0000-0000-0000
Taieb Znati,University of Pittsburgh,https://cs.pitt.edu/~znati,UnixVNQAAAAJ,0000-0000-0000-0000
