"author","coauthor","year","area"
Dimitris Achlioptas,Amos Fiat,2001,act
Dimitris Achlioptas,Michael S. O. Molloy,2001,act
Dimitris Achlioptas,Paul Beame,2001,act
Dimitris Achlioptas,Anna R. Karlin,2001,act
Dimitris Achlioptas,Bart Selman,2001,ai
Dimitris Achlioptas,Henry A. Kautz,2001,ai
Dimitris Achlioptas,Carla P. Gomes,2001,ai
Dimitris Achlioptas,Bernhard Schölkopf,2001,mlmining
Dimitris Achlioptas,Bart Selman,2000,ai
Dimitris Achlioptas,Henry A. Kautz,2000,ai
Dimitris Achlioptas,Carla P. Gomes,2000,ai
Dimitris Achlioptas,Michael S. O. Molloy,1997,act
Dimitris Achlioptas,Aaron Clauset,2005,act
Dimitris Achlioptas,David Kempe 0001,2005,act
Dimitris Achlioptas,Rüdiger L. Urbanke,2016,act
Doug L. James,Markus H. Gross,2008,graph
Doug L. James,Theodore Kim,2008,graph
Doug L. James,Steve Marschner,2008,graph
Doug L. James,Dinesh K. Pai,2008,graph
Doug L. James,Nils Thürey,2008,graph
Doug L. James,Kayvon Fatahalian,2003,graph
Doug L. James,Dinesh K. Pai,2003,graph
Doug L. James,Theodore Kim,2012,vis
Doug L. James,Dinesh K. Pai,2001,graph
Doug L. James,Hanspeter Pfister,2012,graph
Doug L. James,Bernd Bickel,2012,graph
Doug L. James,Steve Marschner,2012,graph
Doug L. James,Changxi Zheng,2012,graph
Doug L. James,Cem Yuksel,2012,graph
Doug L. James,Jernej Barbic,2010,graph
Doug L. James,Steve Marschner,2010,graph
Doug L. James,Changxi Zheng,2010,graph
Doug L. James,Jernej Barbic,2005,graph
Doug L. James,Jernej Barbic,2006,graph
Doug L. James,Dinesh K. Pai,2006,graph
Doug L. James,Dinesh K. Pai,2004,graph
Doug L. James,Dinesh K. Pai,1999,graph
Doug L. James,Changxi Zheng,2016,graph
Doug L. James,Changxi Zheng,2011,graph
Doug L. James,Dinesh K. Pai,2002,robotics
Doug L. James,Theodore Kim,2009,graph
Doug L. James,Changxi Zheng,2009,graph
Laurent Doyen 0001,Krishnendu Chatterjee,2012,log
Laurent Doyen 0001,Thomas A. Henzinger,2009,log
Laurent Doyen 0001,Krishnendu Chatterjee,2009,log
Laurent Doyen 0001,Krishnendu Chatterjee,2016,log
Laurent Doyen 0001,Thomas A. Henzinger,2006,log
Laurent Doyen 0001,Thomas A. Henzinger,2008,bed
Norman C. Hutchinson,Michael J. Feeley,2008,ops
Norman C. Hutchinson,Andrew Warfield,2008,ops
Norman C. Hutchinson,Larry L. Peterson,1989,ops
Norman C. Hutchinson,Michael J. Feeley,2009,ops
Norman C. Hutchinson,Andrew Warfield,2009,ops
Norman C. Hutchinson,Michael J. Feeley,1999,ops
Norman C. Hutchinson,Calton Pu,1988,mod
Norman C. Hutchinson,Gail E. Kaiser,1988,mod
Norman C. Hutchinson,Larry L. Peterson,1988,comm
Swastik Kopparty,Shubhangi Saraf,2011,act
Swastik Kopparty,Eli Ben-Sasson,2006,act
Swastik Kopparty,Shubhangi Saraf,2017,act
Swastik Kopparty,Madhu Sudan,2010,act
Swastik Kopparty,Grant Schoenebeck,2010,act
Swastik Kopparty,Arnab Bhattacharyya,2010,act
Swastik Kopparty,Venkatesan Guruswami,2010,act
Swastik Kopparty,David Zuckerman,2010,act
Swastik Kopparty,Shubhangi Saraf,2010,act
Swastik Kopparty,Eli Ben-Sasson,2013,act
Swastik Kopparty,Venkatesan Guruswami,2013,act
Swastik Kopparty,Shubhangi Saraf,2013,act
Swastik Kopparty,Elena Grigorescu,2008,act
Swastik Kopparty,Madhu Sudan,2008,act
Swastik Kopparty,Hari Balakrishnan,2006,comm
Swastik Kopparty,Paul Valiant,2006,comm
Swastik Kopparty,Mythili Vutukuru,2006,comm
Swastik Kopparty,Shubhangi Saraf,2016,act
Swastik Kopparty,Phokion G. Kolaitis,2009,act
Swastik Kopparty,Eli Ben-Sasson,2009,act
Swastik Kopparty,Zeev Dvir,2009,act
Swastik Kopparty,Shubhangi Saraf,2009,act
Swastik Kopparty,Madhu Sudan,2009,act
Naomi Nishimura,Prabhakar Ragde,1995,act
Naomi Nishimura,Jyrki Katajainen,1995,act
Naomi Nishimura,Marcin Kaminski,2012,act
Michael J. O'Donnell,Christoph M. Hoffmann,1984,plan
Michael J. O'Donnell,Christoph M. Hoffmann,1979,plan
Scott Kuindersma,Roderic A. Grupen,2012,robotics
Scott Kuindersma,Russ Tedrake,2014,robotics
Scott Kuindersma,Russ Tedrake,2016,robotics
Scott Kuindersma,George Konidaris,2011,ai
Scott Kuindersma,Roderic A. Grupen,2011,ai
Scott Kuindersma,George Konidaris,2010,mlmining
Scott Kuindersma,Roderic A. Grupen,2010,mlmining
Eric Van Wyk,Maria L. Gini,2012,robotics
Stefano Lonardi,Eamonn J. Keogh,2003,mlmining
Stefano Lonardi,Tao Jiang 0001,2004,bio
Stefano Lonardi,Jie Zheng,2004,bio
Stefano Lonardi,Eamonn J. Keogh,2002,mlmining
Stefano Lonardi,Jessica Lin 0001,2004,mlmining
Stefano Lonardi,Eamonn J. Keogh,2004,mlmining
Vishy Vishwanathan,Eleazar Eskin,2003,mlmining
David E. Breen,Mathieu Desbrun,2000,vis
David E. Breen,Peter Schröder,2000,vis
David E. Breen,Mihran Tuceryan,1995,vis
David E. Breen,Ross T. Whitaker,1995,vis
David E. Breen,Ross T. Whitaker,2002,vis
David E. Breen,Alan H. Barr,2002,graph
David E. Breen,Ross T. Whitaker,2002,graph
David E. Breen,Michael J. Wozny,1990,vis
David E. Breen,Ross T. Whitaker,2001,vis
David E. Breen,Donald H. House,1994,graph
David E. Breen,Michael J. Wozny,1994,graph
David E. Breen,Michael J. Wozny,1991,graph
Jonathan C. L. Liu,David Hung-Chang Du,1996,comm
Jonathan C. L. Liu,David Hung-Chang Du,1995,comm
Mauro Negri,Giuseppe Pelagatti,1982,mod
Mauro Negri,Stefano Ceri,1982,mod
James Allan,Kathleen McKeown,2007,nlp
James Allan,Ralph Grishman,2007,nlp
James Allan,Ben Carterette,2005,ir
James Allan,Ramesh K. Sitaraman,2006,ir
James Allan,Ben Carterette,2006,ir
James Allan,W. Bruce Croft,2008,ir
James Allan,Javed A. Aslam,2008,ir
James Allan,Ben Carterette,2008,ir
James Allan,Shlomo Zilberstein,2007,ai
Shivani Agarwal 0001,Sanjay Chawla,2013,mlmining
Shivani Agarwal 0001,Dan Roth,2002,vision
Shivani Agarwal 0001,Thore Graepel,2004,mlmining
Shivani Agarwal 0001,Dan Roth,2004,mlmining
Shivani Agarwal 0001,David C. Parkes,2016,ai
Shivani Agarwal 0001,Shivaram Kalyanakrishnan,2014,mlmining
Calvin Newport,Wenchao Zhou,2015,comm
Andy Cockburn,M. Sheelagh T. Carpendale,2007,chi
Andy Cockburn,Saul Greenberg,2007,chi
Andy Cockburn,Ravin Balakrishnan,2007,chi
Andy Cockburn,Karon E. MacLean,2011,chi
Andy Cockburn,Saul Greenberg,2009,chi
Philip K. McKinley,Betty H. C. Cheng,1993,hpc
David A. McAllester,Raquel Urtasun,2012,vision
David A. McAllester,Peter Stone,2002,mlmining
David A. McAllester,Michael L. Littman,2002,mlmining
David A. McAllester,Joseph Keshet,2011,mlmining
David A. McAllester,Jian Peng 0001,2011,mlmining
David A. McAllester,Pedro F. Felzenszwalb,2011,mlmining
David A. McAllester,Raquel Urtasun,2011,mlmining
David A. McAllester,Prakash Panangaden,1988,act
David A. McAllester,Greg Shakhnarovich,2014,mlmining
David A. McAllester,Sanjoy Dasgupta,2001,mlmining
David A. McAllester,Michael L. Littman,2001,mlmining
David A. McAllester,Raquel Urtasun,2013,vision
David A. McAllester,Ramin Zabih,1987,ai
David A. McAllester,Pedro F. Felzenszwalb,2010,vision
David A. McAllester,Mohit Bansal,2016,nlp
David A. McAllester,Kevin Gimpel,2016,nlp
David A. McAllester,Damian Niwinski,1998,log
David A. McAllester,Ramin Zabih,1988,ai
David A. McAllester,Daphne Koller,1997,ai
David A. McAllester,Bart Selman,1997,ai
David A. McAllester,Henry A. Kautz,1997,ai
David A. McAllester,Raquel Urtasun,2014,vision
David A. McAllester,Joseph Keshet,2010,mlmining
David A. McAllester,Mikhail Belkin,2005,mlmining
David A. McAllester,Mohit Bansal,2015,nlp
David A. McAllester,Kevin Gimpel,2015,nlp
David A. McAllester,Pedro F. Felzenszwalb,2008,vision
David A. McAllester,Deva Ramanan,2008,vision
David A. McAllester,Dexter Kozen,1996,log
David A. McAllester,Peter L. Bartlett,2004,mlmining
David A. McAllester,Michael Collins,2004,mlmining
David A. McAllester,Yishay Mansour,1999,mlmining
David A. McAllester,Satinder P. Singh,1999,mlmining
David A. McAllester,Richard S. Sutton,1999,mlmining
Ethan Katz-Bassett,Harsha V. Madhyastha,2013,ops
Ethan Katz-Bassett,Arvind Krishnamurthy,2010,comm
Ethan Katz-Bassett,Harsha V. Madhyastha,2010,comm
Ethan Katz-Bassett,Thomas E. Anderson,2010,comm
Ethan Katz-Bassett,Ramesh Govindan,2012,metrics
Ethan Katz-Bassett,Nick Feamster,2014,comm
Ethan Katz-Bassett,Jennifer Rexford,2014,comm
Ethan Katz-Bassett,Scott Shenker,2014,comm
Ethan Katz-Bassett,David R. Choffnes,2013,comm
Ethan Katz-Bassett,Arvind Krishnamurthy,2013,comm
Ethan Katz-Bassett,Ramesh Govindan,2013,comm
Ethan Katz-Bassett,Thomas E. Anderson,2013,comm
Ethan Katz-Bassett,Ramesh Govindan,2016,comm
Ethan Katz-Bassett,Phillipa Gill,2015,metrics
Ethan Katz-Bassett,David R. Choffnes,2015,metrics
Ethan Katz-Bassett,Ramesh Govindan,2015,metrics
Ethan Katz-Bassett,Thomas E. Anderson,2006,metrics
Ethan Katz-Bassett,Arvind Krishnamurthy,2006,metrics
Ethan Katz-Bassett,David R. Choffnes,2012,comm
Ethan Katz-Bassett,Nick Feamster,2012,comm
Ethan Katz-Bassett,Arvind Krishnamurthy,2012,comm
Ethan Katz-Bassett,Harsha V. Madhyastha,2012,comm
Ethan Katz-Bassett,Thomas E. Anderson,2012,comm
Ethan Katz-Bassett,Arvind Krishnamurthy,2009,comm
Ethan Katz-Bassett,Harsha V. Madhyastha,2009,comm
Ethan Katz-Bassett,Arun Venkataramani,2009,comm
Ethan Katz-Bassett,Thomas E. Anderson,2009,comm
Ethan Katz-Bassett,Minlan Yu,2015,comm
Ethan Katz-Bassett,Arvind Krishnamurthy,2010,metrics
Ethan Katz-Bassett,Harsha V. Madhyastha,2010,metrics
Ethan Katz-Bassett,Thomas E. Anderson,2010,metrics
Ethan Katz-Bassett,Minlan Yu,2014,ops
Ethan Katz-Bassett,Ramesh Govindan,2013,metrics
Ethan Katz-Bassett,Thomas E. Anderson,2008,comm
Ethan Katz-Bassett,Harsha V. Madhyastha,2008,comm
Ethan Katz-Bassett,Arun Venkataramani,2008,comm
Ethan Katz-Bassett,Arvind Krishnamurthy,2008,comm
Venkatesh Choppella,Anind K. Dey,2014,chi
Venkatesh Choppella,Randall Bramley,2000,hpc
Venkatesh Choppella,Madhusudhan Govindaraju,2000,hpc
Feng Luo,Farokh B. Bastani,2004,bio
Feng Luo,I-Ling Yen,2004,bio
Feng Luo,Latifur Khan,2004,bio
Antonis M. Paschalis,Dimitris Gizopoulos,2006,da
Daniel Zappala,Kent E. Seamons,2016,chi
Daniel Zappala,Kent E. Seamons,2016,metrics
John W. Byers,David G. Andersen,2012,comm
John W. Byers,Fahad R. Dogar,2012,comm
John W. Byers,Peter Steenkiste,2012,comm
John W. Byers,Aditya Akella,2012,comm
John W. Byers,Srinivasan Seshan,2012,comm
John W. Byers,Yair Bartal,1997,act
John W. Byers,Danny Raz,1997,act
John W. Byers,Michael Mitzenmacher,1999,comm
John W. Byers,Michael Mitzenmacher,2001,comm
John W. Byers,Azer Bestavros,2007,comm
John W. Byers,Evimaria Terzi,2013,mlmining
John W. Byers,Michael Mitzenmacher,1998,comm
John W. Byers,Khaled Harfoush,2003,comm
John W. Byers,Mark Crovella,2003,comm
John W. Byers,Azer Bestavros,2003,comm
John W. Byers,Khaled Harfoush,2002,comm
John W. Byers,Azer Bestavros,2002,comm
Mikkel R. Jakobsen,Kasper Hornbæk,2016,chi
Mikkel R. Jakobsen,Sebastian Boring,2016,chi
Mikkel R. Jakobsen,Kasper Hornbæk,2013,vis
Mikkel R. Jakobsen,Kasper Hornbæk,2015,chi
Thomas R. Gross,David R. O'Hallaron,1999,hpc
Thomas R. Gross,Urs Hengartner,1999,comm
Thomas R. Gross,Monica S. Lam,1990,arch
Thomas R. Gross,H. T. Kung,1990,arch
Thomas R. Gross,David R. O'Hallaron,2001,comm
Thomas R. Gross,John L. Hennessy,1982,arch
Thomas R. Gross,Mathias Payer,2012,sec
Thomas R. Gross,David R. O'Hallaron,1994,hpc
Thomas R. Gross,Peter A. Dinda,1994,hpc
Thomas R. Gross,Mathias Payer,2007,plan
Thomas R. Gross,Mathias Payer,2015,sec
Thomas R. Gross,David Wagner,2015,sec
Thomas R. Gross,Michael Pradel,2009,soft
Thomas R. Gross,Mathias Payer,2013,ops
Thomas R. Gross,John L. Hennessy,1982,plan
Thomas R. Gross,Michael Pradel,2012,soft
Thomas R. Gross,Adrian Nistor,2012,soft
Thomas R. Gross,Darko Marinov,2012,soft
Thomas R. Gross,Jonathan Aldrich,2012,soft
Thomas R. Gross,Peter A. Dinda,2001,hpc
Thomas R. Gross,Peter Steenkiste,2001,hpc
Thomas R. Gross,Bernd Bruegge,1988,hpc
Thomas R. Gross,Monica S. Lam,1989,arch
Thomas R. Gross,Monica S. Lam,1985,robotics
Thomas R. Gross,H. T. Kung,1985,robotics
Thomas R. Gross,Gustavo Alonso,2003,mod
Thomas R. Gross,Michael Pradel,2013,soft
Thomas R. Gross,Monica S. Lam,1986,arch
Thomas R. Gross,H. T. Kung,1986,arch
Thomas R. Gross,Peter Steenkiste,1998,hpc
Thomas R. Gross,Michael Pradel,2012,plan
Thomas R. Gross,Urs Hengartner,2000,comm
Joachim M. Buhmann,Vittorio Ferrari,2012,vision
Joachim M. Buhmann,Thomas Hofmann,1994,mlmining
Joachim M. Buhmann,Carlo Tomasi,1999,vision
Joachim M. Buhmann,Thomas Hofmann,1999,vision
Joachim M. Buhmann,Thomas Hofmann,1997,mlmining
Joachim M. Buhmann,Marc Pollefeys,2016,vision
Joachim M. Buhmann,Thomas Hofmann,1993,mlmining
Joachim M. Buhmann,Ido Dagan,2001,mlmining
Joachim M. Buhmann,David A. Basin,2009,sec
Joachim M. Buhmann,Thomas Hofmann,1997,vision
Joachim M. Buhmann,David A. Basin,2008,sec
Joachim M. Buhmann,Serge J. Belongie,2006,vision
Joachim M. Buhmann,Vittorio Ferrari,2011,vision
Joachim M. Buhmann,Peter Widmayer,2007,bio
Joachim M. Buhmann,Dieter W. Fellner,1998,vision
Joachim M. Buhmann,David A. Basin,2009,mlmining
Joachim M. Buhmann,Anil K. Jain,2005,vision
Joachim M. Buhmann,Peter Widmayer,2004,mlmining
C. Greg Plaxton,Kevin Jeffay,1996,bed
C. Greg Plaxton,Ion Stoica,1996,bed
C. Greg Plaxton,Sanjoy K. Baruah,1996,bed
C. Greg Plaxton,Torsten Suel,1992,act
C. Greg Plaxton,Sanjoy K. Baruah,1993,act
C. Greg Plaxton,Torsten Suel,1995,act
C. Greg Plaxton,Robert Endre Tarjan,1995,act
C. Greg Plaxton,Andréa W. Richa,1995,act
C. Greg Plaxton,Rajmohan Rajaraman,1995,act
C. Greg Plaxton,Endre Szemerédi,1995,act
C. Greg Plaxton,S. Muthukrishnan,1995,act
C. Greg Plaxton,David Zuckerman,1995,act
C. Greg Plaxton,Bruce M. Maggs,1995,act
C. Greg Plaxton,Rajmohan Rajaraman,1994,act
C. Greg Plaxton,Rajmohan Rajaraman,1996,act
C. Greg Plaxton,Rajmohan Rajaraman,1998,act
Lakshmish Ramaswamy,Ling Liu,2004,ir
Lakshmish Ramaswamy,Kang Li,2008,comm
Eric P. Xing,Chris Dyer,2014,nlp
Eric P. Xing,Shay B. Cohen,2014,nlp
Eric P. Xing,Jacob Eisenstein,2011,nlp
Eric P. Xing,Noah A. Smith,2011,nlp
Eric P. Xing,Yaoliang Yu,2015,mlmining
Eric P. Xing,Christopher G. Lucas,2015,mlmining
Eric P. Xing,William W. Cohen,2008,mlmining
Eric P. Xing,Noah A. Smith,2008,mlmining
Eric P. Xing,David M. Blei,2008,mlmining
Eric P. Xing,Ruslan Salakhutdinov,2016,mlmining
Eric P. Xing,Barnabás Póczos,2016,mlmining
Eric P. Xing,Stuart J. Russell,2002,mlmining
Eric P. Xing,Michael I. Jordan,2002,mlmining
Eric P. Xing,Richard M. Karp,2002,mlmining
Eric P. Xing,Jacob Eisenstein,2011,mlmining
Eric P. Xing,Fei-Fei Li,2011,mlmining
Eric P. Xing,Noah A. Smith,2011,mlmining
Eric P. Xing,Christopher James Langmead,2011,mlmining
Eric P. Xing,Le Song,2011,mlmining
Eric P. Xing,Michael I. Jordan,2006,mlmining
Eric P. Xing,Christos Faloutsos,2006,mlmining
Eric P. Xing,Seyoung Kim,2009,bio
Eric P. Xing,Le Song,2009,bio
Eric P. Xing,Yaoliang Yu,2016,vision
Eric P. Xing,Garth A. Gibson,2014,mlmining
Eric P. Xing,Jacob Eisenstein,2010,nlp
Eric P. Xing,Noah A. Smith,2010,nlp
Eric P. Xing,Brendan O'Connor,2010,nlp
Eric P. Xing,Michael I. Jordan,2001,mlmining
Eric P. Xing,Richard M. Karp,2001,mlmining
Eric P. Xing,Garth A. Gibson,2016,ops
Eric P. Xing,Phillip B. Gibbons,2016,ops
Eric P. Xing,Fei-Fei Li,2010,vision
Eric P. Xing,Antonio Torralba,2010,vision
Eric P. Xing,Ruslan Salakhutdinov,2016,nlp
Eric P. Xing,Takeo Kanade,2007,vision
Eric P. Xing,Noah A. Smith,2009,nlp
Eric P. Xing,Fei-Fei Li,2011,vision
Eric P. Xing,Takeo Kanade,2011,vision
Eric P. Xing,Christopher James Langmead,2007,bio
Eric P. Xing,Fei-Fei Li,2010,mlmining
Eric P. Xing,Seyoung Kim,2010,mlmining
Eric P. Xing,Michael Brudno,2010,bio
Eric P. Xing,Jaime G. Carbonell,2005,mlmining
Eric P. Xing,Yiming Yang,2005,mlmining
Eric P. Xing,Wei Xu,2008,vision
Eric P. Xing,Phillip B. Gibbons,2013,mlmining
Eric P. Xing,Le Song,2013,mlmining
Eric P. Xing,David M. Blei,2013,mlmining
Eric P. Xing,Garth A. Gibson,2013,mlmining
Eric P. Xing,Xi Chen,2013,mlmining
Eric P. Xing,Haesun Park,2013,mlmining
Eric P. Xing,Yaoliang Yu,2015,ai
Eric P. Xing,Garth A. Gibson,2015,ai
Eric P. Xing,Jacob Eisenstein,2012,ir
Eric P. Xing,Tom M. Mitchell,2007,robotics
Eric P. Xing,Nancy S. Pollard,2007,robotics
Eric P. Xing,William W. Cohen,2009,mlmining
Eric P. Xing,Seyoung Kim,2009,mlmining
Eric P. Xing,Noah A. Smith,2009,mlmining
Eric P. Xing,Le Song,2009,mlmining
Eric P. Xing,Roded Sharan,2004,mlmining
Eric P. Xing,Michael I. Jordan,2004,mlmining
Eric P. Xing,Noah A. Smith,2008,nlp
Eric P. Xing,Fei-Fei Li,2012,mlmining
Eric P. Xing,Xi Chen,2012,mlmining
Eric P. Xing,Garth A. Gibson,2014,ops
Eric P. Xing,Phillip B. Gibbons,2014,ops
Eric P. Xing,Zhongfei Zhang,2007,mlmining
Eric P. Xing,Christos Faloutsos,2007,mlmining
Eric P. Xing,Jacob Eisenstein,2011,ir
Stephen Gould,Daphne Koller,2009,vision
Stephen Gould,Jochen Renz,2013,ai
Stephen Gould,Ashutosh Saxena,2008,mlmining
Stephen Gould,Daphne Koller,2008,mlmining
Stephen Gould,Basura Fernando,2016,mlmining
Stephen Gould,Daphne Koller,2009,mlmining
Stephen Gould,Daphne Koller,2010,vision
Stephen Gould,Daphne Koller,2010,mlmining
Stephen Gould,Vladimir Jojic,2010,mlmining
Stephen Gould,Marcus Hutter,2016,vision
Stephen Gould,Basura Fernando,2016,vision
Stephen Gould,Ian D. Reid 0001,2015,vision
Wim van Dam,Dorit Aharonov,2004,act
Wim van Dam,Oded Regev,2004,act
Wim van Dam,Andrew M. Childs,2005,act
Wim van Dam,Andrew M. Childs,2007,act
Wim van Dam,Umesh V. Vazirani,2001,act
Wim van Dam,Sean Hallgren,2003,act
Douglas Stebila,Marc Fischlin,2015,sec
Andrew T. Campbell,Xia Zhou,2015,mobile
Andrew T. Campbell,Lorenzo Torresani,2013,mobile
Andrew T. Campbell,Jun Yang,2010,mobile
Andrew T. Campbell,Xia Zhou,2015,chi
Andrew T. Campbell,Xia Zhou,2014,chi
Andrew T. Campbell,Jon Crowcroft,2005,mobile
Andrew T. Campbell,David Kotz,2008,comm
Andrew T. Campbell,Guanling Chen,2008,comm
Chris Bregler,Hao Li,2013,graph
James J. Lu,V. S. Subrahmanian,1995,mod
Hany Farid,James F. O'Brien,2012,graph
Hany Farid,James F. O'Brien,2013,graph
Hany Farid,James F. O'Brien,2014,graph
Dan Boneh,Matthew K. Franklin,2001,crypt
Dan Boneh,Suman Jana,2014,sec
Dan Boneh,David Mazières,2014,sec
Dan Boneh,Mark Horowitz,2000,arch
Dan Boneh,John C. Mitchell,2000,arch
Dan Boneh,Ari Juels,2007,sec
Dan Boneh,Suman Jana,2012,sec
Dan Boneh,Daniel Sanchez,2012,sec
Dan Boneh,Vitaly Shmatikov,2012,sec
Dan Boneh,Frank Wang,2012,sec
Dan Boneh,Giuseppe Persiano,2004,crypt
Dan Boneh,Rafail Ostrovsky,2004,crypt
Dan Boneh,Hovav Shacham,2004,crypt
Dan Boneh,Charles Rackoff,2008,act
Dan Boneh,Brent Waters,2008,act
Dan Boneh,Matthew K. Franklin,1999,crypt
Dan Boneh,John C. Mitchell,2006,ir
Dan Boneh,John C. Mitchell,2012,ir
Dan Boneh,Amit Sahai,2015,crypt
Dan Boneh,Mark Zhandry,2015,crypt
Dan Boneh,Gil Segev,2013,crypt
Dan Boneh,Mark Zhandry,2013,crypt
Dan Boneh,Bryan Ford,2013,sec
Dan Boneh,Richard J. Lipton,1995,crypt
Dan Boneh,David Mazières,2015,sec
Dan Boneh,Rafail Ostrovsky,2008,crypt
Dan Boneh,Hovav Shacham,2003,crypt
Dan Boneh,Matthew K. Franklin,1999,sec
Dan Boneh,Vinod Vaikuntanathan,2014,crypt
Dan Boneh,Gil Segev,2014,crypt
Dan Boneh,Brent Waters,2014,crypt
Dan Boneh,Sergey Gorbunov,2014,crypt
Dan Boneh,Mark Zhandry,2014,crypt
Dan Boneh,Hovav Shacham,2004,sec
Dan Boneh,Gene Tsudik,2001,sec
Dan Boneh,Rafail Ostrovsky,2007,crypt
Dan Boneh,Eyal Kushilevitz,2007,crypt
Dan Boneh,William E. Skeith III,2007,crypt
Dan Boneh,Richard A. DeMillo,1997,crypt
Dan Boneh,Matthew K. Franklin,1997,crypt
Dan Boneh,Richard J. Lipton,1997,crypt
Dan Boneh,Somesh Jha,2006,sec
Dan Boneh,Nick McKeown,2006,sec
Dan Boneh,Brent Waters,2006,sec
Dan Boneh,Michael J. Freedman,2006,sec
Dan Boneh,Aditya Akella,2006,sec
Dan Boneh,John C. Mitchell,2005,sec
Dan Boneh,Richard J. Lipton,1996,sec
Dan Boneh,Mark Handley,2010,sec
Dan Boneh,David Mazières,2010,sec
Dan Boneh,Jonathan Katz,2016,sec
Dan Boneh,Shweta Agrawal,2010,crypt
Dan Boneh,Brent Waters,2005,crypt
Dan Boneh,Amit Sahai,2006,crypt
Dan Boneh,Brent Waters,2006,crypt
Dan Boneh,Mendel Rosenblum,2003,ops
Dan Boneh,Richard J. Lipton,1996,crypt
Luca Mottola,Luciano Baresi,2007,soft
Luca Mottola,Kamin Whitehouse,2016,mobile
Luca Mottola,Kamin Whitehouse,2014,mobile
Bernd Hamann,Valerio Pascucci,2006,vis
Bernd Hamann,Vijay Natarajan,2006,vis
Bernd Hamann,Herbert Edelsbrunner,2003,vis
Bernd Hamann,Valerio Pascucci,2003,vis
Bernd Hamann,Nelson L. Max,2003,vis
Bernd Hamann,Katherine E. Isaacs,2014,vis
Bernd Hamann,Nina Amenta,2005,vis
Bernd Hamann,Valerio Pascucci,2005,vis
Bernd Hamann,Vijay Natarajan,2005,vis
Bernd Hamann,Katherine St. John,2005,vis
Bernd Hamann,Charles D. Hansen,2001,vis
Bernd Hamann,Valerio Pascucci,2008,vis
Bernd Hamann,Michael Brudno,2004,bio
Bernd Hamann,Serafim Batzoglou,2004,bio
Bernd Hamann,Valerio Pascucci,2011,vis
Bernd Hamann,Herbert Edelsbrunner,2004,vis
Bernd Hamann,Valerio Pascucci,2004,vis
Bernd Hamann,Valerio Pascucci,2007,vis
Bernd Hamann,Vijay Natarajan,2007,vis
Bernd Hamann,Hank Childs,2008,hpc
Bernd Hamann,Katherine E. Isaacs,2015,hpc
Bernd Hamann,Joshua A. Levine,2012,hpc
Bernd Hamann,Katherine E. Isaacs,2012,hpc
Bernd Hamann,Valerio Pascucci,2012,hpc
Olga Sorkine,Daniel Cohen-Or,2003,graph
Olga Sorkine,Alec Jacobson,2012,graph
Olga Sorkine,Ladislav Kavan,2012,graph
Olga Sorkine,Andrew Nealen,2010,graph
Olga Sorkine,Andrew Nealen,2007,graph
Olga Sorkine,Sivan Toledo,2005,graph
Olga Sorkine,Andrew Nealen,2005,graph
Olga Sorkine,Daniel Cohen-Or,2005,graph
Olga Sorkine,Daniel Cohen-Or,2006,graph
Olga Sorkine,Dani Lischinski,2002,vis
Olga Sorkine,Daniel Cohen-Or,2002,vis
Olga Sorkine,Daniel Cohen-Or,2005,vis
Olga Sorkine,Alec Jacobson,2011,graph
Olga Sorkine,Denis Zorin,2011,graph
Olga Sorkine,Daniele Panozzo,2011,graph
Olga Sorkine,Hans-Peter Seidel,2009,graph
Olga Sorkine,Daniel Cohen-Or,2009,graph
Olga Sorkine,Niloy J. Mitra,2009,graph
Nicholas J. A. Harvey,Ramesh Hariharan,2011,act
Nicholas J. A. Harvey,Debmalya Panigrahi,2011,act
Nicholas J. A. Harvey,Maria-Florina Balcan,2011,act
Nicholas J. A. Harvey,Robert D. Kleinberg,2006,act
Nicholas J. A. Harvey,Erik D. Demaine,2006,act
Nicholas J. A. Harvey,David R. Karger,2006,act
Nicholas J. A. Harvey,David R. Karger,2005,act
Nicholas J. A. Harvey,Yonggang Wen,2007,comm
Nicholas J. A. Harvey,Jelani Nelson,2008,act
Nicholas J. A. Harvey,Andrew Warfield,2014,ops
Yasutaka Furukawa,Jean Ponce,2008,vision
Yasutaka Furukawa,Jean Ponce,2007,vision
Yasutaka Furukawa,Brian Curless,2009,vision
Yasutaka Furukawa,Steven M. Seitz,2009,vision
Yasutaka Furukawa,Jean Ponce,2009,vision
Yasutaka Furukawa,David J. Kriegman,2004,vision
Yasutaka Furukawa,Jean Ponce,2004,vision
Yasutaka Furukawa,Brian Curless,2010,vision
Yasutaka Furukawa,Steven M. Seitz,2010,vision
Yasutaka Furukawa,Brian Curless,2014,vision
Yasutaka Furukawa,Steven M. Seitz,2014,vision
Yasutaka Furukawa,Jean Ponce,2006,vision
Dan I. Moldovan,Sanda M. Harabagiu,2001,nlp
Dan I. Moldovan,Mihai Surdeanu,2001,nlp
Dan I. Moldovan,Rada Mihalcea,2001,nlp
Dan I. Moldovan,Roxana Girju,2001,nlp
Dan I. Moldovan,Sanda M. Harabagiu,2005,ai
Dan I. Moldovan,Rada Mihalcea,1999,nlp
Dan I. Moldovan,Sanda M. Harabagiu,2000,nlp
Dan I. Moldovan,Rada Mihalcea,2000,nlp
Dan I. Moldovan,Roxana Girju,2000,nlp
Dan I. Moldovan,Rada Mihalcea,1999,ai
