name,affiliation,homepage,scholarid,orcid
V. G. Vovk,Royal Holloway Univ. of London,https://pure.royalholloway.ac.uk/portal/en/persons/vladimir-vovk_74ed8b21-d9d7-4ab6-8dbf-6f177b91b945.html,GJE29ekAAAAJ,0000-0000-0000-0000
V. John Mathews,Oregon State University,http://eecs.oregonstate.edu/people/mathews-v-john,NOSCHOLARPAGE,0000-0000-0000-0000
V. K. Prasanna Kumar,University of Southern California,http://ceng.usc.edu/~prasanna,4FQXSP8AAAAJ,0000-0000-0000-0000
V. Kamakoti 0001,IIT Madras,http://www.cse.iitm.ac.in/profile.php?arg=MTg=,pfG0_pEAAAAJ,0000-0000-0000-0000
V. Krishna Nandivada,IIT Madras,http://www.cse.iitm.ac.in/~krishna,kbgu7ccAAAAJ,0000-0002-5949-0046
V. Mahendran,IIT Tirupati,https://www.iittp.ac.in/dr-v-mahendran,PPRmuVYAAAAJ,0000-0000-0000-0000
V. N. Muralidhara,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=VNMuralidhara,qYHo_C4AAAAJ,0000-0000-0000-0000
V. N. Venkatakrishnan,University of Illinois at Chicago,https://www.cs.uic.edu/~venkat,6enh82kAAAAJ,0000-0002-1690-9185
V. Ramasubramanian,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=VRamasubramanian,Eb87kPkAAAAJ,0000-0000-0000-0000
V. S. Anil Kumar 0001,University of Virginia,https://engineering.virginia.edu/faculty/anil-vullikanti,MNJ-E9UAAAAJ,0000-0000-0000-0000
V. S. Subrahmanian,Northwestern University,https://vssubrah.github.io,PLt9wB8AAAAJ,0000-0001-7191-0296
V. Sridhar,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=VSridhar,NOSCHOLARPAGE,0000-0000-0000-0000
V. Sriram Siddhardh Nadendla,Missouri S&T,https://cii.mst.edu/people/members/siddhardhnadendla,_xQ3PSoAAAAJ,0000-0000-0000-0000
V. Susheela Devi,IISc Bangalore,http://www.csa.iisc.ac.in/~susheela,NOSCHOLARPAGE,0000-0000-0000-0000
V. Vijaya Saradhi,IIT Guwahati,https://www.iitg.ernet.in/saradhi,1DpQo5AAAAAJ,0000-0000-0000-0000
V. Vinod,Massachusetts Inst. of Technology,http://www.mit.edu/~vinodv,a8jIPIkAAAAJ,0000-0000-0000-0000
V. Wiktor Marek,University of Kentucky,https://www.cs.uky.edu/~marek,NOSCHOLARPAGE,0000-0000-0000-0000
Vaanathi Sundaresan,IISc Bangalore,https://sites.google.com/view/dr-vaanathi-sundaresan/ABOUT,Pr3C3V0AAAAJ,0000-0000-0000-0000
Vaclav Prenosil,Masaryk University,https://www.muni.cz/en/people/169249,DFSqdsEAAAAJ,0000-0000-0000-0000
Václav Rozhon,Charles University,https://www.mff.cuni.cz/en/faculty/organizational-structure/people?hdl=18729,ykSKgcMAAAAJ,0000-0000-0000-0000
Vadim Bulitko,University of Alberta,http://ircl.cs.ualberta.ca,a93MQNQAAAAJ,0000-0000-0000-0000
Vadim E. Levit,Ariel University,http://ariel.academia.edu/VadimLevit,iAIwEeAAAAAJ,0000-0000-0000-0000
Vadim Shcherbakov,Royal Holloway Univ. of London,https://pure.royalholloway.ac.uk/portal/en/persons/vadim-shcherbakov,gblWaX4AAAAJ,0000-0000-0000-0000
Vadim Zaytsev,University of Twente,https://grammarware.net,Ycwf7Z4AAAAJ,0000-0000-0000-0000
Vagelis Hristidis,Univ. of California - Riverside,http://www.cs.ucr.edu/~vagelis,nKR2tGvMLFMC,0000-0001-8905-2832
Vagelis Papalexakis,Univ. of California - Riverside,https://www.cs.cmu.edu/~epapalex,2P1kinAAAAAJ,0000-0000-0000-0000
Vaggos Chatziafratis,Univ. of California - Santa Cruz,https://cs.stanford.edu/~vaggos,FjCVRKkAAAAJ,0000-0000-0000-0000
Vagn Lundsgaard Hansen,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE,0000-0000-0000-0000
Vagner S. Rosa,Federal University of Rio Grande,http://www.vagner.c3.furg.br,NOSCHOLARPAGE,0000-0000-0000-0000
