name,affiliation
Guoliang Xue , Arizona State University
Hanghang Tong , Arizona State University
Hasan Davulcu , Arizona State University
Heni Ben Amor , Arizona State University
Huan Liu , Arizona State University
James S. Collofello , Arizona State University
Jingrui He , Arizona State University
Joohyung Lee , Arizona State University
K. Selçuk Candan , Arizona State University
Kasim Selçuk Candan , Arizona State University
Kurt VanLehn , Arizona State University
Ming Zhao , Arizona State University
Mohamed Sarwat , Arizona State University
Partha Dasgupta , Arizona State University
Rida A. Bazzi , Arizona State University
Sandeep K. S. Gupta , Arizona State University
Subbarao Kambhampati , Arizona State University
Violet R. Syrotiuk , Arizona State University
Wei-Tek Tsai , Arizona State University
Yalin Wang , Arizona State University
Yezhou Yang , Arizona State University
Antonis Dimakis , Athens University of Economics and Business
Dimitris Gritzalis , Athens University of Economics and Business
E. J. Yannakoudakis , Athens University of Economics and Business
Emmanouel A. Giakoumakis , Athens University of Economics and Business
Emmanuel J. Yannakoudakis , Athens University of Economics and Business
Eugénie Foustoucos , Athens University of Economics and Business
Evangelos Markakis , Athens University of Economics and Business
George C. Polyzos , Athens University of Economics and Business
George D. Stamoulis , Athens University of Economics and Business
George Xylomenos , Athens University of Economics and Business
Georgios Papaioannou , Athens University of Economics and Business
Giannis F. Marias , Athens University of Economics and Business
Ioannis Kontoyiannis , Athens University of Economics and Business
Ioannis Milis , Athens University of Economics and Business
Ion Androutsopoulos , Athens University of Economics and Business
Iordanis Koutsopoulos , Athens University of Economics and Business
Michalis K. Titsias , Athens University of Economics and Business
Michalis Vazirgiannis , Athens University of Economics and Business
Nicos Malevris , Athens University of Economics and Business
Nikolaos Malevris , Athens University of Economics and Business
P. Katerinis , Athens University of Economics and Business
P. Vassalos , Athens University of Economics and Business
Panos Constantopoulos , Athens University of Economics and Business
Stavros Toumpis , Athens University of Economics and Business
T. Z. Kalamboukis , Athens University of Economics and Business
Theodore K. Apostolopoulos , Athens University of Economics and Business
Theodore Kalamboukis , Athens University of Economics and Business
Vana Kalogeraki , Athens University of Economics and Business
Vangelis Markakis , Athens University of Economics and Business
Vasilios A. Siris , Athens University of Economics and Business
Vasilis Vassalos , Athens University of Economics and Business
Yannis Kotidis , Athens University of Economics and Business
Alvin S. Lim , Auburn University
Anthony Skjellum , Auburn University
Cheryl D. Seals , Auburn University
Cheryl Denise Seals , Auburn University
Cheryl Seals , Auburn University
Daniela Marghitu , Auburn University
David A. Umphress , Auburn University
Dean Hendrix , Auburn University
James H. Cross , Auburn University
James H. Cross II , Auburn University
Jeffrey L. Overbey , Auburn University
Jeffrey Overbey , Auburn University
Kai H. Chang , Auburn University
Kai-Hsiung Chang , Auburn University
Levent Yilmaz , Auburn University
N. Hari Narayanan , Auburn University
Richard Chapman , Auburn University
Saad Biaz , Auburn University
Sanjeev Baskiyar , Auburn University
T. Dean Hendrix , Auburn University
Wei-Shinn Ku , Auburn University
Xiao Qin , Auburn University
Adrian Lowe , Australian National University
Alistair P. Rendell , Australian National University
Andreas Fell , Australian National University
Andres Cuevas , Australian National University
Andrew Blakers , Australian National University
Andrew F. Thomson , Australian National University
Anoop Cherian , Australian National University
Antonio Tricoli , Australian National University
Antony Hosking , Australian National University
Antony L. Hosking , Australian National University
Apurv Kumar , Australian National University
Armin Haller , Australian National University
Basura Fernando , Australian National University
Ben Swift , Australian National University
Benjamin Swift , Australian National University
Bob McKay , Australian National University
Bob Williamson , Australian National University
Brendan D. McKay , Australian National University
Brian D. O. Anderson , Australian National University
Brian David Outram Anderson , Australian National University
Changbin Brad Yu , Australian National University
Changbin Yu , Australian National University
Chog Barugkin , Australian National University
Chris Stokes-Griffin , Australian National University
Chuong V. Nguyen , Australian National University
Daniel Macdonald , Australian National University
Daniel Walter , Australian National University
David Nisbet , Australian National University
Dingfu Zhou , Australian National University
Dinusha Vatsalan , Australian National University
Dirk Pattinson , Australian National University
Dongwoo Kim , Australian National University
Ekaterina Lebedeva , Australian National University
Enrico Scala , Australian National University
Er-Chien Wang , Australian National University
Eric C. McCreath , Australian National University
Eric McCreath , Australian National University
Evan Franklin , Australian National University
Fatih Murat Porikli , Australian National University
Fatih Porikli , Australian National University
Fiacre Rougieux , Australian National University
Fiona J. Beck , Australian National University
Gerard Borg , Australian National University
Gerry Corrigan , Australian National University
Guodong Shi , Australian National University
Hassan Hijazi , Australian National University
Hassan L. Hijazi , Australian National University
Hemant Kumar Mulmudi , Australian National University
Henry Gardner , Australian National University
Henry J. Gardner , Australian National University
Heping Shen , Australian National University
Hongdong Li , Australian National University
Igor Skryabin , Australian National University
Ijaz Akhter , Australian National University
Jeremy Dawson , Australian National University
Jeremy E. Dawson , Australian National University
Jie Cui , Australian National University
Jochen Renz , Australian National University
Jochen Trumpf , Australian National University
John A. Richards , Australian National University
John K. Slaney , Australian National University
John Lloyd , Australian National University
John Pye , Australian National University
John Slaney , Australian National University
John W. Lloyd , Australian National University
Jonghyuk Kim , Australian National University
Joseph S. Coventry , Australian National University
Junming Wei , Australian National University
Kate Booker , Australian National University
Kean Chern Fong , Australian National University
Klaus Weber , Australian National University
Kun Cai , Australian National University
Kylie Catchpole , Australian National University
Laurent Kneip , Australian National University
Lexing Xie , Australian National University
Lynette Johns-Boast , Australian National University
Mahesh Venkataraman , Australian National University
Marco Ernst , Australian National University
Marcus Hutter , Australian National University
Marian-Andrei Rizoiu , Australian National University
Mark D. Reid , Australian National University
Mark Reid , Australian National University
Matt Stocks , Australian National University
Matthew Doolan , Australian National University
Matthew R. James , Australian National University
Michael Dennis , Australian National University
Nan Yang , Australian National University
Neda Aboutorab , Australian National University
Parastoo Sadeghi , Australian National University
Patrik Haslum , Australian National University
Paul Compston , Australian National University
Peter Christen , Australian National University
Peter E. Strazdins , Australian National University
Peter Kreider , Australian National University
Peter Strazdins , Australian National University
Pheng Phang , Australian National University
Prasanga N. Samarasinghe , Australian National University
Qing Wang , Australian National University
Qing-Hua Qin , Australian National University
Rajeev Goré , Australian National University
Ramesh S. Sankaranarayana , Australian National University
Ramesh Sankaranarayana , Australian National University
Richard Brent , Australian National University
Richard I. Hartley , Australian National University
Richard P. Brent , Australian National University
Robert C. Williamson , Australian National University
Robert E. Mahony , Australian National University
Robert I. McKay , Australian National University
Robert Ian McKay , Australian National University
Robert Williamson , Australian National University
Rodney A. Kennedy , Australian National University
Roman Bader , Australian National University
Salman Durrani , Australian National University
Shankar Kalyanasundaram , Australian National University
Shayne Flint , Australian National University
Shihao Yan , Australian National University
Stephen Blackburn , Australian National University
Stephen Gould , Australian National University
Stephen M. Blackburn , Australian National University
Steve Blackburn , Australian National University
Steven M. Blackburn , Australian National University
Sylvie Thiébaux , Australian National University
T. C. Chong , Australian National University
T. D. Gedeon , Australian National University
Takuya Tsuzuki , Australian National University
Tamás D. Gedeon , Australian National University
Thomas P. White , Australian National University
Thushara D. Abhayapala , Australian National University
Timothy Graham , Australian National University
Tom Gedeon , Australian National University
Tom Ratcliff , Australian National University
Tony Hosking , Australian National University
Uwe R. Zimmer , Australian National University
Uwe Zimmer , Australian National University
Vernie Everett , Australian National University
Vincent Wheeler , Australian National University
Viorela Ila , Australian National University
W. M. Lee , Australian National University
Weifa Liang , Australian National University
Wen Zhang 0002 , Australian National University
Wojciech Lipinski , Australian National University
Xiangyun Zhou , Australian National University
Xiaolei Hou , Australian National University
Xinbo Yang , Australian National University
Yimao Wan , Australian National University
Yuchao Dai , Australian National University
Yuerui Lu , Australian National University
Abhishek Mishra , BITS Pilani
Amit Dua , BITS Pilani
Arun Chauhan 0002 , BITS Pilani
Ashutosh Bhatia , BITS Pilani
Avinash Gautam , BITS Pilani
J. P. Misra , BITS Pilani
K. Haribabu , BITS Pilani
Kamlesh Tiwari , BITS Pilani
Kuldeep Kumar , BITS Pilani
Lavika Goel , BITS Pilani
Mukesh Kumar Rohil , BITS Pilani
Navneet Goyal , BITS Pilani
Poonam Goyal , BITS Pilani
Rahul Banerjee , BITS Pilani
Sudeept Mohan , BITS Pilani
Sundar Balasubramaniam , BITS Pilani
Sundaresan Raman , BITS Pilani
Vandana Agarwal , BITS Pilani
Virendra Singh Shekhawat , BITS Pilani
Yashvardhan Sharma , BITS Pilani
Amihood Amir , Bar-Ilan University
Amir Herzberg , Bar-Ilan University
Ariel J. Frank , Bar-Ilan University
Avinatan Hassidim , Bar-Ilan University
Benny Pinkas , Bar-Ilan University
David Sarne , Bar-Ilan University
Doron A. Peled , Bar-Ilan University
Doron Peled , Bar-Ilan University
Ely Porat , Bar-Ilan University
Gal A. Kaminka , Bar-Ilan University
Ido Dagan , Bar-Ilan University
Joseph Keshet , Bar-Ilan University
Liam Roditty , Bar-Ilan University
Moshe Koppel , Bar-Ilan University
Moshe Lewenstein , Bar-Ilan University
Nathan S. Netanyahu , Bar-Ilan University
Noa Agmon , Bar-Ilan University
Sarit Kraus , Bar-Ilan University
Shmuel T. Klein , Bar-Ilan University
Shmuel Tomi Klein , Bar-Ilan University
Tali Kaufman , Bar-Ilan University
Tanya Plotkin , Bar-Ilan University
Yael Amsterdamer , Bar-Ilan University
Yehuda Lindell , Bar-Ilan University
Yoav Goldberg , Bar-Ilan University
Yonatan Aumann , Bar-Ilan University
Anand Seetharam , Binghamton University
Aravind Prakash , Binghamton University
Arti Ramesh , Binghamton University
Dmitry Ponomarev , Binghamton University
Dmitry V. Ponomarev , Binghamton University
Guanhua Yan , Binghamton University
Hui Lu 0001 , Binghamton University
Kanad Ghose , Binghamton University
Kartik Gopalan , Binghamton University
Kenneth Chiu , Binghamton University
Kyoung-Don Kang , Binghamton University
Lei Yu 0001 , Binghamton University
Leslie Lander , Binghamton University
Lijun Yin , Binghamton University
Madhusudhan Govindaraju , Binghamton University
Michael J. Lewis , Binghamton University
Mo Sha , Binghamton University
Patrick H. Madden , Binghamton University
Ping Yang 0002 , Binghamton University
Timothy N. Miller , Binghamton University
Weiyi Meng , Binghamton University
Weiying Dai , Binghamton University
Yan Wang 0003 , Binghamton University
Yao Liu 0001 , Binghamton University
Yifan Zhang 0002 , Binghamton University
Yu David Liu , Binghamton University
Zhongfei (Mark) Zhang , Binghamton University
Zhongfei Zhang , Binghamton University
Amit Jain , Boise State University
Bogdan Dit , Boise State University
Casey Kennington , Boise State University
Casey Redd Kennington , Boise State University
Catherine Mills Olschanowsky , Boise State University
Catherine Olschanowsky , Boise State University
Dianxiang Xu , Boise State University
Edoardo Serra , Boise State University
Elena Sherman , Boise State University
Francesca Spezzano , Boise State University
Gaby Dagher , Boise State University
Hoda Mehrpouyan , Boise State University
Jerry Alan Fails , Boise State University
Jidong Xiao , Boise State University
Jim Buffenbarger , Boise State University
Jyh-haw Yeh , Boise State University
Maria Soledad Pera , Boise State University
Michael D. Ekstrand , Boise State University
Min Long , Boise State University
Steve Cutchin , Boise State University
Timothy L. Andersen , Boise State University
Yantian Hou , Boise State University
Edward Sciore , Boston College
Hao Jiang , Boston College
Howard Straubing , Boston College
José Bento , Boston College
José Bento Ayres Pereira , Boston College
Robert Muller , Boston College
Robert Signorile , Boston College
Sergio Alvarez , Boston College
Sergio Alvarez Pardo , Boston College
A. J. Kfoury , Boston University
Alina Ene , Boston University
Assaf J. Kfoury , Boston University
Azer Bestavros , Boston University
Charalampos E. Tsourakakis , Boston University
David Starobinski , Boston University
Emily Whiting , Boston University
Evimaria Terzi , Boston University
George Kollios , Boston University
Hongwei Xi , Boston University
Ibrahim Matta , Boston University
John W. Byers , Boston University
Jonathan Appavoo , Boston University
Kate Saenko , Boston University
Leonid A. Levin , Boston University
Leonid Reyzin , Boston University
Lorenzo Orecchia , Boston University
Manuel Egele , Boston University
Margrit Betke , Boston University
Mark Crovella , Boston University
Péter Gács , Boston University
Ran Canetti , Boston University
Richard West , Boston University
Sharon Goldberg , Boston University
Stan Sclaroff , Boston University
Steven Homer , Boston University
Wayne Snyder , Boston University
Antonella Di Lillo , Brandeis University
Harry G. Mairson , Brandeis University
James A. Storer , Brandeis University
James Pustejovsky , Brandeis University
Jordan Pollack , Brandeis University
Liuba Shrira , Brandeis University
Lotus Goldberg , Brandeis University
Mitch Cherniack , Brandeis University
Nianwen Xue , Brandeis University
Olga Papaemmanouil , Brandeis University
Pengyu Hong , Brandeis University
Richard Alterman , Brandeis University
Rick Alterman , Brandeis University
Sophia A. Malamud , Brandeis University
Timothy J. Hickey , Brandeis University
Bill Barrett , Brigham Young University
Brent Adams , Brigham Young University
Bryan S. Morse , Brigham Young University
Christophe G. Giraud-Carrier , Brigham Young University
Cory Barker , Brigham Young University
Dan Ventura , Brigham Young University
Daniel Zappala , Brigham Young University
David Wingate , Brigham Young University
Eric G. Mercer , Brigham Young University
Eric K. Ringger , Brigham Young University
Eric Mercer , Brigham Young University
J. Kelly Flanagan , Brigham Young University
Jacob W. Crandall , Brigham Young University
Jacob William Crandall , Brigham Young University
Kenneth J. Rodham , Brigham Young University
Kent E. Seamons , Brigham Young University
Kevin D. Seppi , Brigham Young University
Mark J. Clement , Brigham Young University
Michael A. Goodrich , Brigham Young University
Michael D. Jones , Brigham Young University
Parris K. Egbert , Brigham Young University
Paul R. Roper , Brigham Young University
Quinn O. Snell , Brigham Young University
Quinn Snell , Brigham Young University
Robert P. Burton , Brigham Young University
Ryan Farrell , Brigham Young University
Scott N. Woodfield , Brigham Young University
Sean C. Warnick , Brigham Young University
Sean Warnick , Brigham Young University
Seth Holladay , Brigham Young University
Thomas W. Sederberg , Brigham Young University
Tony R. Martinez , Brigham Young University
William A. Barrett , Brigham Young University
Yiu-Kai Dennis Ng , Brigham Young University
Yiu-Kai Ng , Brigham Young University
Amy Greenwald , Brown University
Andries van Dam , Brown University
Andy van Dam , Brown University
Anna Lysyanskaya , Brown University
David H. Laidlaw , Brown University
Eli Upfal , Brown University
Eugene Charniak , Brown University
Franco P. Preparata , Brown University
George Konidaris , Brown University
Jeff Huang , Brown University
John E. Savage , Brown University
John F. Hughes , Brown University
Maurice Herlihy , Brown University
Michael L. Littman , Brown University
Paul Valiant , Brown University
Pedro F. Felzenszwalb , Brown University
Pedro Felipe Felzenszwalb , Brown University
Philip N. Klein , Brown University
Roberto Tamassia , Brown University
Rodrigo C. Fonseca , Brown University
Rodrigo Fonseca , Brown University
Seny Kamara , Brown University
Shriram Krishnamurthi , Brown University
Sorin Istrail , Brown University
Stan Zdonik , Brown University
Stanley B. Zdonik , Brown University
Stefanie Tellex , Brown University
Steven P. Reiss , Brown University
Theophilus Benson , Brown University
Thomas W. Doeppner Jr. , Brown University
Tim Kraska , Brown University
Ugur Çetintemel , Brown University
Vasileios P. Kemerlis , Brown University
Aiswarya Cyriac , CMI
B. Srivathsan , CMI
C. Aiswarya , CMI
Geevarghese Philip , CMI
K. Narayan Kumar , CMI
K. V. Subrahmanyam , CMI
M. Praveen , CMI
Madhavan Mukund , CMI
Partha Mukhopadhyay , CMI
Prajakta Nimbhorkar , CMI
S. P. Suresh , CMI
Samir Datta , CMI
Sourav Chakraborty 0001 , CMI
Abbe Mowshowitz , CUNY
Abdullah Uz Tansel , CUNY
Akira Kawaguchi , CUNY
Amotz Bar-Noy , CUNY
Amotz Barnoy , CUNY
Bilal Khan , CUNY
Bon K. Sy , CUNY
Brian Murphy , CUNY
Candido Cabo , CUNY
Changhe Yuan , CUNY
Chen Chao , CUNY
Danny Kopec , CUNY
Danyang Zhang , CUNY
Delaram Kahrobaei , CUNY
Devorah Kletenik , CUNY
Dina Sokol , CUNY
Douglas Troeger , CUNY
Felisa J. Vázquez-Abad , CUNY
Feng Gu , CUNY
Gabor T. Herman , CUNY
George Wolberg , CUNY
Ioannis Stamos , CUNY
Irina Gladkova , CUNY
Izidor Gertner , CUNY
Jianting Zhang , CUNY
Jie Wei , CUNY
Jizhong Xiao , CUNY
Joel David Hamkins , CUNY
Kaliappa Nadar Ravindran , CUNY
Kaliappa Ravindran , CUNY
Katherine St. John , CUNY
Lei Xie , CUNY
Leonid Gurvits , CUNY
Lev Manovich , CUNY
Linda Weiser Friedman , CUNY
Louis D'Alotto , CUNY
Louis Petingi , CUNY
M. Ümit Uyar , CUNY
Matthew Johnson , CUNY
Michael E. Kress , CUNY
Michael Grossberg , CUNY
Michael Mandel , CUNY
Myung J. Lee , CUNY
Myung Jong Lee , CUNY
Nelly Fazio , CUNY
Neng-Fa Zhou , CUNY
Olympia Hadjiliadis , CUNY
Paula A. Whitlock , CUNY
Peter Brass , CUNY
Peter Braß , CUNY
Ping Ji , CUNY
Raquel Benbunan-Fich , CUNY
Rivka Levitan , CUNY
Robert M. Haralick , CUNY
Robert Martin Haralick , CUNY
Rohit Parikh , CUNY
Rosario Gennaro , CUNY
Russell Miller , CUNY
Saad Mneimneh , CUNY
Sarah Zelikovitz , CUNY
Saul Aaron Kripke , CUNY
Saul Kripke , CUNY
Scott Dexter , CUNY
Sergei N. Artëmov , CUNY
Shuqun Zhang , CUNY
Shweta Jain , CUNY
Soon Ae Chun , CUNY
Spiridon Bakiras , CUNY
Subash Shankar , CUNY
Susan D. Epstein , CUNY
Susan Imberman , CUNY
Sven Dietrich , CUNY
T. Yung Kong , CUNY
Tat Yung Kong , CUNY
Theodore Brown , CUNY
Theodore Raphan , CUNY
Victor Pan , CUNY
Victor Y. Pan , CUNY
William E. Skeith III , CUNY
William G. Sakas , CUNY
Xiangdong Li , CUNY
Xiaowen Zhang , CUNY
Yedidyah Langsam , CUNY
Ying-li Tian , CUNY
Yumei Huo , CUNY
Zhanyang Zhang , CUNY
Zhigang Xiang , CUNY
Zhigang Zhu , CUNY
A. J. Jansen , CWI
Eric J. Pauwels , CWI
Fahrad Arbab , CWI
Frank S. de Boer , CWI
Han la Poutré , CWI
Hannes Mühleisen , CWI
Harry Buhrman , CWI
Ivan Herman , CWI
Iván Herman , CWI
Jack Jansen , CWI
Jan J. M. M. Rutten , CWI
Jan Rutten , CWI
Jan van Eijck , CWI
Joke Blom , CWI
Joke G. Blom , CWI
Joost Batenburg , CWI
Jop Briët , CWI
Jurgen J. Vinju , CWI
Laura Hollink , CWI
Lynda Hardman , CWI
Marc Stevens , CWI
Martin L. Kersten , CWI
Michael Kaisers , CWI
Paul Klint , CWI
Peter A. Boncz , CWI
Peter Grunwald , CWI
Peter Grünwald , CWI
Rob van der Mei , CWI
Robert D. van der Mei , CWI
Robert van Liere , CWI
Roeland M. H. Merks , CWI
Roeland Merks , CWI
Ronald Cramer , CWI
Ronald de Wolf , CWI
Sander M. Bohte , CWI
Serge Fehr , CWI
Stefan Manegold , CWI
Steven Pemberton , CWI
Tijs van der Storm , CWI
Adam Wierman , California Institute of Technology
Alain J. Martin , California Institute of Technology
Alan H. Barr , California Institute of Technology
Chris Umans , California Institute of Technology
Christopher Umans , California Institute of Technology
Erik Winfree , California Institute of Technology
Joel A. Tropp , California Institute of Technology
Leonard J. Schulman , California Institute of Technology
Mathieu Desbrun , California Institute of Technology
Peter Schröder , California Institute of Technology
Pietro Perona , California Institute of Technology
Steven H. Low , California Institute of Technology
Thomas Vidick , California Institute of Technology
Tracey Ho , California Institute of Technology
Venkat Chandrasekaran , California Institute of Technology
Yaser S. Abu-Mostafa , California Institute of Technology
Yisong Yue , California Institute of Technology
Anil Maheshwari , Carleton University
Anil Somayaji , Carleton University
B. John Oommen , Carleton University
David Mould , Carleton University
Doron Nussbaum , Carleton University
Douglas G. Howe , Carleton University
Dwight Deugo , Carleton University
Evangelos Kranakis , Carleton University
Frank Dehne , Carleton University
Frank K. H. A. Dehne , Carleton University
Jean-Pierre Corriveau , Carleton University
Jörg-Rüdiger Sack , Carleton University
Leopoldo E. Bertossi , Carleton University
Louis D. Nel , Carleton University
Mark Lanthier , Carleton University
Mengchi Liu , Carleton University
Michel Barbeau , Carleton University
Michiel H. M. Smid , Carleton University
Nicola Santoro , Carleton University
Oliver Matias van Kaick , Carleton University
Oliver van Kaick , Carleton University
Pat Morin , Carleton University
Paul C. van Oorschot , Carleton University
Robert Biddle , Carleton University
Sonia Chiasson , Carleton University
Tony White , Carleton University
Wilf R. LaLonde , Carleton University
Yuhong Guo , Carleton University
Aarti Singh , Carnegie Mellon University
Abhinav Gupta , Carnegie Mellon University
Alan W. Black , Carnegie Mellon University
Alessandro Acquisti , Carnegie Mellon University
Alex Waibel , Carnegie Mellon University
Alexander H. Waibel , Carnegie Mellon University
Alonzo Kelly , Carnegie Mellon University
Amy Ogan , Carnegie Mellon University
Andreas R. Pfenning , Carnegie Mellon University
Andrew Pavlo , Carnegie Mellon University
Andrew W. Moore 0001 , Carnegie Mellon University
André Platzer , Carnegie Mellon University
Andy Pavlo , Carnegie Mellon University
Aniket Kittur , Carnegie Mellon University
Anind Dey , Carnegie Mellon University
Anind K. Dey , Carnegie Mellon University
Anupam Datta , Carnegie Mellon University
Anupam Gupta , Carnegie Mellon University
Ariel D. Procaccia , Carnegie Mellon University
Barnabás Póczos , Carnegie Mellon University
Bernhard Haeupler , Carnegie Mellon University
Bhiksha Raj , Carnegie Mellon University
Bhiksha Ramakrishnan , Carnegie Mellon University
Bill Scherlis , Carnegie Mellon University
Bogdan Vasilescu , Carnegie Mellon University
Brad A. Myers , Carnegie Mellon University
Brandon Lucia , Carnegie Mellon University
Bruce H. Krogh , Carnegie Mellon University
Bruno Sinopoli , Carnegie Mellon University
Bryan Parno , Carnegie Mellon University
Carl Kingsford , Carnegie Mellon University
Carolyn Penstein Rosé , Carnegie Mellon University
Chinmay Eishan Kulkarni , Carnegie Mellon University
Chinmay Kulkarni , Carnegie Mellon University
Chris Harrison , Carnegie Mellon University
Christian Kästner , Carnegie Mellon University
Christopher G. Atkeson , Carnegie Mellon University
Christopher James Langmead , Carnegie Mellon University
Christos Faloutsos , Carnegie Mellon University
Claire Le Goues , Carnegie Mellon University
Dabbala Rajagopal Reddy , Carnegie Mellon University
Dana S. Scott , Carnegie Mellon University
Daniel Dominic Kaplan Sleator , Carnegie Mellon University
Daniel Dominic Sleator , Carnegie Mellon University
Daniel P. Siewiorek , Carnegie Mellon University
Dave Andersen , Carnegie Mellon University
David Brumley , Carnegie Mellon University
David G. Andersen , Carnegie Mellon University
David Garlan , Carnegie Mellon University
David Held , Carnegie Mellon University
David J. Mostow , Carnegie Mellon University
David P. Woodruff , Carnegie Mellon University
David R. O'Hallaron , Carnegie Mellon University
Deva Ramanan , Carnegie Mellon University
Diana Marculescu , Carnegie Mellon University
Douglas C. Sicker , Carnegie Mellon University
Drew Bagnell , Carnegie Mellon University
Edmund M. Clarke , Carnegie Mellon University
Eduard H. Hovy , Carnegie Mellon University
Eric Nyberg , Carnegie Mellon University
Eric P. Xing , Carnegie Mellon University
Eric Po Xing , Carnegie Mellon University
Farnam Jahanian , Carnegie Mellon University
Fei Fang , Carnegie Mellon University
Frank Pfenning , Carnegie Mellon University
Garth A. Gibson , Carnegie Mellon University
Garth Gibson , Carnegie Mellon University
Gary K. Fedder , Carnegie Mellon University
Gary L. Miller , Carnegie Mellon University
Geoff F. Kaufman , Carnegie Mellon University
Geoffrey J. Gordon , Carnegie Mellon University
Graham Neubig , Carnegie Mellon University
Greg Ganger , Carnegie Mellon University
Guy E. Blelloch , Carnegie Mellon University
Hartmut Geyer , Carnegie Mellon University
Howie Choset , Carnegie Mellon University
Igor Mordatch , Carnegie Mellon University
Illah R. Nourbakhsh , Carnegie Mellon University
Illah Reza Nourbakhsh , Carnegie Mellon University
Ioannis Gkioulekas , Carnegie Mellon University
J. Andrew Bagnell , Carnegie Mellon University
J. Zico Kolter , Carnegie Mellon University
Jack Mostow , Carnegie Mellon University
